Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2008,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,367.31,108.56,406.87,95.0,1.45,17.69,1422.31,170.38
2009,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,343.61,22.85,359.97,57.71,25.68,40.88,1299.68,133.73
2010,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,394.44,18.13,538.47,208.24,36.79,52.06,1442.04,175.02
2011,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,475.07,9.11,599.24,298.49,3.9,118.18,1532.2,79.89
2012,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,502.49,20.2,733.53,413.89,3.25,143.99,1586.65,189.5
2013,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,608.07,23.28,839.44,94.25,0.0,172.47,1832.89,173.73
2014,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,713.13,29.62,934.06,460.56,6.42,256.3,2031.54,285.77
2015,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,844.68,25.12,1092.3,209.31,19.26,299.95,2443.1,470.31
2016,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,959.22,32.24,1474.35,279.66,19.73,351.83,3442.87,329.45
2017,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1074.09,40.13,1683.39,346.32,7.3,340.92,3650.66,292.73
2018,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1064.37,51.23,1779.09,391.51,0.0,372.88,3577.89,365.5
2019,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1057.97,30.01,1991.13,459.45,0.0,366.34,4730.04,278.9
2020,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1231.11,64.74,1947.43,104.42,42.81,430.21,5151.04,1225.11
2021,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1780.01,41.89,2462.98,389.71,175.37,500.78000000000003,5916.79,815.8
2022,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1719.69,17.88,2530.12,771.84,104.48,550.64,6125.75,509.28
2023,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1501.09,10.07,2313.55,964.48,22.15,529.55,6206.7,777.31
2024,BMAX.ST,Byggmax Group AB,Specialty Retailers,Consumer Discretionary,1378.68,11.31,2022.26,646.67,34.96,433.86,6071.93,874.62
