Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2011,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,327.16,114.01,304.23,114.16,18.56,478.52,918.83,282.79
2012,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,289.5,173.21,259.0,16.0,55.6,631.24,1092.35,-39.07
2013,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,1206.62,1025.36,664.4,21.57,91.88,1857.29,3524.48,301.08
2014,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,1261.07,1049.11,395.77,112.79,41.54,3049.19,5011.79,-96.47
2015,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,2139.82,1639.03,715.43,166.79,23.51,5196.3,7983.62,504.83
2016,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,1484.1,1137.22,509.25,279.47,10.68,5059.8,7075.14,731.97
2017,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,3660.56,2863.09,935.43,316.65,19.4,5580.4,10240.35,844.12
2018,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,4442.0,3303.0,1800.0,364.0,34.0,8956.0,14857.0,1248.0
2019,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,4495.0,2824.0,2750.0,837.0,92.0,15180.0,21578.0,1860.0
2020,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,9074.0,7788.0,3495.0,1661.0,90.0,15861.0,26663.0,1671.0
2021,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,5645.0,4171.0,2913.0,1147.0,24.0,15885.0,33030.0,2072.0
2022,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,6512.0,4132.0,4039.0,2194.0,37.0,17310.0,36730.0,756.0
2023,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,4884.0,3101.0,5635.0,3063.0,48.0,22035.0,41795.0,2200.0
2024,SCATC.OL,Scatec ASA,Electric Utilities & IPPs,Utilities,7584.0,3890.0,6833.0,4550.0,57.0,24068.0,45742.0,3128.0
