PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_ObservedQuality,0.0940572399325544,0.007838103327712866,2.061978232260255,0.04059277700811181,0.01806395114977377,189
LongShort,FF3,Method1_ObservedQuality,0.1113037897776282,0.00927531581480235,2.8324175956973083,0.005131827686186918,0.3505216828395249,189
LongShort,FF3+MOM,Method1_ObservedQuality,0.06348474095938117,0.0052903950799484305,1.4337797432459556,0.15333228256035314,0.376685350652306,189
LongShort,FF5,Method1_ObservedQuality,0.072352072854137,0.006029339404511417,2.316482698565765,0.021639675113926504,0.6042709168810025,189
LongShort,FF5+MOM,Method1_ObservedQuality,0.042216560501450784,0.0035180467084542323,1.1896878405590756,0.23571877709745648,0.6151274931870578,189
LongShort,CAPM,Method2_LatentQuality,0.07902307876316955,0.006585256563597462,1.6894673882897575,0.09279641488272139,0.013025364957182428,189
LongShort,FF3,Method2_LatentQuality,0.09603068907160708,0.008002557422633923,2.4431617510535446,0.015498020642786825,0.34490922543520663,189
LongShort,FF3+MOM,Method2_LatentQuality,0.06328931042236048,0.005274109201863373,1.3822557780542415,0.1685687683446493,0.35779293231504683,189
LongShort,FF5,Method2_LatentQuality,0.057823657836892035,0.004818638153074336,1.8789357880437945,0.061843170080537524,0.6150720482153889,189
LongShort,FF5+MOM,Method2_LatentQuality,0.04267380220500673,0.003556150183750561,1.180619210906902,0.23929467160524576,0.617954107229139,189
LongShort,CAPM,Method3_ConservativeQuality,0.10276964200058852,0.008564136833382377,2.3433428713001914,0.020162635135645868,0.009793280078286837,189
LongShort,FF3,Method3_ConservativeQuality,0.11905894032362188,0.009921578360301823,3.2001551260482892,0.001616551215789297,0.370900134640595,189
LongShort,FF3+MOM,Method3_ConservativeQuality,0.06628798514889785,0.0055239987624081536,1.5775229995171534,0.11639290783786382,0.4021759019977099,189
LongShort,FF5,Method3_ConservativeQuality,0.07983105555972184,0.006652587963310153,2.6682740403868905,0.00830877198885438,0.5915486584832864,189
LongShort,FF5+MOM,Method3_ConservativeQuality,0.043719511965387856,0.003643292663782321,1.3443020447070135,0.18052391806083268,0.6068506916615252,189
LongShort,CAPM,Method4_ProbabilisticQuality,0.10168478266783376,0.008473731888986147,2.2185684887478843,0.02771933277394867,0.017187120173890236,189
LongShort,FF3,Method4_ProbabilisticQuality,0.11879262296870763,0.009899385247392303,3.016908599438622,0.0029132164251566284,0.3468527474348292,189
LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.0680366670078208,0.005669722250651732,1.5073114633235691,0.13344581734534078,0.37613555074003646,189
LongShort,FF5,Method4_ProbabilisticQuality,0.07927462112296017,0.006606218426913348,2.5546816961838115,0.011442476772812515,0.5964172887744424,189
LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.046139584849139645,0.0038449654040949707,1.2994633405807308,0.1954285646686036,0.6094565353249934,189
