PortfolioStrategy,FactorModel,Method,MethodLabel,alpha_annualized,alpha_monthly
LongShort,CAPM,Method1_ObservedQuality,Observed Quality,0.0940572399325544,0.007838103327712866
LongShort,CAPM,Method2_LatentQuality,Latent Quality,0.07902307876316955,0.006585256563597462
LongShort,CAPM,Method3_ConservativeQuality,Conservative Quality,0.1027696420005885,0.008564136833382375
LongShort,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.1016847826678338,0.00847373188898615
LongShort,FF3,Method1_ObservedQuality,Observed Quality,0.1113037897776282,0.00927531581480235
LongShort,FF3,Method2_LatentQuality,Latent Quality,0.0960306890716071,0.008002557422633925
LongShort,FF3,Method3_ConservativeQuality,Conservative Quality,0.11905894032362188,0.009921578360301823
LongShort,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.11879262296870766,0.009899385247392305
LongShort,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.0634847409593812,0.005290395079948433
LongShort,FF3+MOM,Method2_LatentQuality,Latent Quality,0.06328931042236052,0.005274109201863377
LongShort,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.0662879851488978,0.005523998762408151
LongShort,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.06803666700782086,0.005669722250651738
LongShort,FF5,Method1_ObservedQuality,Observed Quality,0.07235207285413703,0.006029339404511419
LongShort,FF5,Method2_LatentQuality,Latent Quality,0.05782365783689203,0.004818638153074335
LongShort,FF5,Method3_ConservativeQuality,Conservative Quality,0.07983105555972184,0.006652587963310153
LongShort,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.07927462112296016,0.006606218426913347
LongShort,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.04221656050145078,0.0035180467084542314
LongShort,FF5+MOM,Method2_LatentQuality,Latent Quality,0.04267380220500676,0.003556150183750563
LongShort,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.04371951196538786,0.003643292663782322
LongShort,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.046139584849139714,0.003844965404094976
Q5,CAPM,Method1_ObservedQuality,Observed Quality,0.014299957053713423,0.001191663087809452
Q5,CAPM,Method2_LatentQuality,Latent Quality,0.01283607842231247,0.0010696732018593725
Q5,CAPM,Method3_ConservativeQuality,Conservative Quality,0.011511918368307332,0.0009593265306922776
Q5,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.01541689312137827,0.0012847410934481891
Q5,FF3,Method1_ObservedQuality,Observed Quality,0.0171402192283329,0.001428351602361075
Q5,FF3,Method2_LatentQuality,Latent Quality,0.015664268810471862,0.0013053557342059886
Q5,FF3,Method3_ConservativeQuality,Conservative Quality,0.014190589689484768,0.0011825491407903973
Q5,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.0182634312656757,0.001521952605472975
Q5,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.019561556561370045,0.0016301297134475037
Q5,FF3+MOM,Method2_LatentQuality,Latent Quality,0.019219944435371145,0.0016016620362809288
Q5,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.018447005817288174,0.0015372504847740145
Q5,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.02019670389224819,0.0016830586576873489
Q5,FF5,Method1_ObservedQuality,Observed Quality,0.008438543633515441,0.00070321196945962
Q5,FF5,Method2_LatentQuality,Latent Quality,0.007397312466093949,0.0006164427055078291
Q5,FF5,Method3_ConservativeQuality,Conservative Quality,0.0068222518083407915,0.0005685209840283993
Q5,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.00929189728039918,0.0007743247733665984
Q5,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.012468359470352335,0.0010390299558626947
Q5,FF5+MOM,Method2_LatentQuality,Latent Quality,0.01231573584007228,0.0010263113200060234
Q5,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.012321965141820952,0.0010268304284850793
Q5,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.012883183312457691,0.0010735986093714743
