FormationYear,Method,Portfolio,Exchange,n_firms,share_of_quantile
2010,Method1_ObservedQuality,Q1,Copenhagen,16,0.25396825396825395
2010,Method1_ObservedQuality,Q1,Helsinki,18,0.2857142857142857
2010,Method1_ObservedQuality,Q1,Oslo,16,0.25396825396825395
2010,Method1_ObservedQuality,Q1,Stockholm,13,0.20634920634920634
2010,Method1_ObservedQuality,Q1,Iceland,0,0.0
2010,Method1_ObservedQuality,Q2,Copenhagen,13,0.20967741935483872
2010,Method1_ObservedQuality,Q2,Helsinki,15,0.24193548387096775
2010,Method1_ObservedQuality,Q2,Oslo,15,0.24193548387096775
2010,Method1_ObservedQuality,Q2,Stockholm,19,0.3064516129032258
2010,Method1_ObservedQuality,Q2,Iceland,0,0.0
2010,Method1_ObservedQuality,Q3,Copenhagen,10,0.16129032258064516
2010,Method1_ObservedQuality,Q3,Helsinki,16,0.25806451612903225
2010,Method1_ObservedQuality,Q3,Oslo,11,0.1774193548387097
2010,Method1_ObservedQuality,Q3,Stockholm,25,0.4032258064516129
2010,Method1_ObservedQuality,Q3,Iceland,0,0.0
2010,Method1_ObservedQuality,Q4,Copenhagen,8,0.12903225806451613
2010,Method1_ObservedQuality,Q4,Helsinki,11,0.1774193548387097
2010,Method1_ObservedQuality,Q4,Oslo,11,0.1774193548387097
2010,Method1_ObservedQuality,Q4,Stockholm,30,0.4838709677419355
2010,Method1_ObservedQuality,Q4,Iceland,2,0.03225806451612903
2010,Method1_ObservedQuality,Q5,Copenhagen,12,0.19047619047619047
2010,Method1_ObservedQuality,Q5,Helsinki,19,0.30158730158730157
2010,Method1_ObservedQuality,Q5,Oslo,8,0.12698412698412698
2010,Method1_ObservedQuality,Q5,Stockholm,23,0.36507936507936506
2010,Method1_ObservedQuality,Q5,Iceland,1,0.015873015873015872
2010,Method2_LatentQuality,Q1,Copenhagen,16,0.25396825396825395
2010,Method2_LatentQuality,Q1,Helsinki,15,0.23809523809523808
2010,Method2_LatentQuality,Q1,Oslo,19,0.30158730158730157
2010,Method2_LatentQuality,Q1,Stockholm,13,0.20634920634920634
2010,Method2_LatentQuality,Q1,Iceland,0,0.0
2010,Method2_LatentQuality,Q2,Copenhagen,12,0.1935483870967742
2010,Method2_LatentQuality,Q2,Helsinki,19,0.3064516129032258
2010,Method2_LatentQuality,Q2,Oslo,11,0.1774193548387097
2010,Method2_LatentQuality,Q2,Stockholm,20,0.3225806451612903
2010,Method2_LatentQuality,Q2,Iceland,0,0.0
2010,Method2_LatentQuality,Q3,Copenhagen,11,0.1774193548387097
2010,Method2_LatentQuality,Q3,Helsinki,15,0.24193548387096775
2010,Method2_LatentQuality,Q3,Oslo,10,0.16129032258064516
2010,Method2_LatentQuality,Q3,Stockholm,26,0.41935483870967744
2010,Method2_LatentQuality,Q3,Iceland,0,0.0
2010,Method2_LatentQuality,Q4,Copenhagen,9,0.14516129032258066
2010,Method2_LatentQuality,Q4,Helsinki,12,0.1935483870967742
2010,Method2_LatentQuality,Q4,Oslo,11,0.1774193548387097
2010,Method2_LatentQuality,Q4,Stockholm,28,0.45161290322580644
2010,Method2_LatentQuality,Q4,Iceland,2,0.03225806451612903
2010,Method2_LatentQuality,Q5,Copenhagen,11,0.1746031746031746
2010,Method2_LatentQuality,Q5,Helsinki,18,0.2857142857142857
2010,Method2_LatentQuality,Q5,Oslo,10,0.15873015873015872
2010,Method2_LatentQuality,Q5,Stockholm,23,0.36507936507936506
2010,Method2_LatentQuality,Q5,Iceland,1,0.015873015873015872
2010,Method3_ConservativeQuality,Q1,Copenhagen,15,0.23809523809523808
2010,Method3_ConservativeQuality,Q1,Helsinki,18,0.2857142857142857
2010,Method3_ConservativeQuality,Q1,Oslo,16,0.25396825396825395
2010,Method3_ConservativeQuality,Q1,Stockholm,14,0.2222222222222222
2010,Method3_ConservativeQuality,Q1,Iceland,0,0.0
2010,Method3_ConservativeQuality,Q2,Copenhagen,15,0.24193548387096775
2010,Method3_ConservativeQuality,Q2,Helsinki,13,0.20967741935483872
2010,Method3_ConservativeQuality,Q2,Oslo,16,0.25806451612903225
2010,Method3_ConservativeQuality,Q2,Stockholm,18,0.2903225806451613
2010,Method3_ConservativeQuality,Q2,Iceland,0,0.0
2010,Method3_ConservativeQuality,Q3,Copenhagen,9,0.14516129032258066
2010,Method3_ConservativeQuality,Q3,Helsinki,19,0.3064516129032258
2010,Method3_ConservativeQuality,Q3,Oslo,8,0.12903225806451613
2010,Method3_ConservativeQuality,Q3,Stockholm,26,0.41935483870967744
2010,Method3_ConservativeQuality,Q3,Iceland,0,0.0
2010,Method3_ConservativeQuality,Q4,Copenhagen,9,0.14516129032258066
2010,Method3_ConservativeQuality,Q4,Helsinki,10,0.16129032258064516
2010,Method3_ConservativeQuality,Q4,Oslo,12,0.1935483870967742
2010,Method3_ConservativeQuality,Q4,Stockholm,29,0.46774193548387094
2010,Method3_ConservativeQuality,Q4,Iceland,2,0.03225806451612903
2010,Method3_ConservativeQuality,Q5,Copenhagen,11,0.1746031746031746
2010,Method3_ConservativeQuality,Q5,Helsinki,19,0.30158730158730157
2010,Method3_ConservativeQuality,Q5,Oslo,9,0.14285714285714285
2010,Method3_ConservativeQuality,Q5,Stockholm,23,0.36507936507936506
2010,Method3_ConservativeQuality,Q5,Iceland,1,0.015873015873015872
2010,Method4_ProbabilisticQuality,Q1,Copenhagen,15,0.24193548387096775
2010,Method4_ProbabilisticQuality,Q1,Helsinki,18,0.2903225806451613
2010,Method4_ProbabilisticQuality,Q1,Oslo,16,0.25806451612903225
2010,Method4_ProbabilisticQuality,Q1,Stockholm,13,0.20967741935483872
2010,Method4_ProbabilisticQuality,Q1,Iceland,0,0.0
2010,Method4_ProbabilisticQuality,Q2,Copenhagen,0,
