Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,602.04,0.0,306.90000000000003,0.0,0.0,434.32,0.0,0.6795450359182168
2005,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,1133.67,0.0,473.67,0.0,0.0,589.38,0.0,1.1198208286674132
2006,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,1813.98,0.0,885.9100000000001,0.0,0.0,766.95,0.0,1.210078883890736
2007,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,2269.6,0.0,0.0,0.0,0.0,884.57,0.0,2.5657664175814237
2008,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,937.57,0.0,792.84,0.0,0.0,356.99,0.0,0.4054175186980028
2009,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,489.38,0.0,498.79,0.0,0.0,321.36,0.0,-0.029281802340054845
2010,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,427.7,0.0,0.0,0.0,0.0,247.09,0.0,1.7309482374843175
2011,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,489.31,0.0,531.8399999999999,0.0,0.0,235.13,0.0,-0.18087866286734963
2012,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,365.87,0.0,398.45,0.0,0.01,184.33,0.0,-0.17680247382411968
2013,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,420.86,0.0,397.53,0.0,0.94,229.75,0.0,0.09745375408052248
2014,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,134.82,0.0,220.22,0.0,1.73,215.19,0.0,-0.4048979971188253
2015,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,4.93,0.0,20.76,0.0,0.21,509.6,0.0,-0.031475667189952906
2016,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,6.48,0.0,42.71,0.0,1.19,-25.32,-2.03,1.3681901279707496
2017,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,17.64,0.0,52.53,0.0,1.21,16.54,0.0,-2.1825876662636037
2018,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,14.02,0.0,19.63,0.0,0.15,2.84,0.0,-2.028169014084507
2019,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,8.66,0.0,22.1,0.0,0.37,-2.03,0.0,6.802955665024632
2020,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,154.02,0.0,124.85,0.0,0.75,316.21,0.0,0.08987698048765067
2021,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,413.94,92.86,327.88,0.0,1.87,316.51,0.0,-0.027392499447094917
2022,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,504.97,115.04,424.04,0.0,0.7,281.93,0.0,-0.123470364984216
2023,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,572.98,132.67,421.3200000000001,0.0,1.16,262.46,0.0,0.06793416139602207
2024,ARRA.OL,Arribatec Group ASA,Professional & Commercial Services,Industrials,574.73,146.68,457.52,0.0,0.91,189.15,0.0,-0.16061326989162025
