Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,12826.2,0.0,12280.6,0.0,0.0,1496.0,141.8,0.3331298082793994
2005,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,14579.2,9926.9,3846.6,0.0,0.0,1417.0,53.4,0.5479461371055503
2006,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,16442.3,11202.0,7601.4,0.0,0.0,1747.9,29.8,-1.3281768577375261
2007,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,19267.2,13321.5,4908.5,0.0,1.0,2252.4,33.5,0.453300669320618
2008,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,20225.7,0.0,18959.3,0.0,0.0,1948.1,24.9,0.6418651799290428
2009,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,15923.4,9766.0,9043.7,0.0,0.0,1986.4,35.3,-1.4276598901914235
2010,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,15744.9,9395.4,9432.9,0.0,0.0,1979.1,55.5,-1.5154821586552638
2011,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,17727.3,0.0,16974.5,0.0,0.0,1822.6,64.1,0.39900355117400715
2012,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,19839.0,12837.3,6086.900000000001,0.0,13.9,2118.2,64.5,0.4127456819535439
2013,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,21780.9,14448.9,6384.4,0.0,32.2,2405.0,62.0,0.37105796513984685
2014,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,24027.0,14965.0,7895.0,0.0,41.0,2673.0,71.0,0.4103498542274053
2015,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,24225.0,15234.0,7806.0,0.0,41.0,3073.0,145.0,0.3555003107520199
2016,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,28613.0,18369.0,8915.0,0.0,44.0,3286.0,179.0,0.3708513708513709
2017,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,31175.0,19878.0,9822.0,0.0,39.0,4198.0,22.0,0.3402843601895735
2018,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,33974.0,22996.0,10277.0,0.0,12.0,3958.0,25.0,0.172985187044941
2019,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,36569.0,0.0,35034.0,0.0,34.0,3807.0,142.0,0.38009622689288425
2020,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,38140.0,24675.0,11348.0,0.0,47.0,2852.0,25.0,0.7194994786235662
2021,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,37592.0,24269.0,11043.0,0.0,40.0,2848.0,17.0,0.7818499127399651
2022,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,38658.0,24432.0,11818.0,0.0,39.0,2973.0,22.0,0.7909849749582638
2023,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,43146.0,28120.0,12596.0,0.0,33.0,3052.0,46.0,0.7737249838605552
2024,VEI.OL,Veidekke ASA,Construction & Engineering,Industrials,41403.0,25427.0,13312.0,0.0,30.0,3304.0,52.0,0.7848629320619785
