Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,121099.99,65026.14,0.0,21491.55,3744.8,73477.02,965.44,0.991646434037779
2005,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,132343.17,71486.14,0.0,20780.59,2074.69,86293.09,721.78,0.9143601547643525
2006,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,156474.02,91258.6,0.0,23958.27,1556.73,109365.59,712.03,0.7959561625696485
2007,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,162757.86,98860.36,0.0,24998.73,1469.14,112787.98,790.54,0.7697502133325913
2008,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,178700.86,115177.51,0.0,28724.88,2124.6,125223.48,1121.31,0.7133149692994859
2009,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,169930.7,108716.74,22145.3,27204.29,1274.83,113170.42,936.14,0.5696264964959071
2010,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,170773.93,105597.86,22735.37,26502.76,1443.64,125902.13,1456.79,0.5299967995959765
2011,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,195990.73,126072.82,23046.0,28189.31,2298.29,124173.37,1878.59,0.57724552636865
2012,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,195757.67,131898.52,22364.67,28217.31,1705.09,117176.03,1369.65,0.5736750592682924
2013,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,205211.09,136284.84,23711.87,29093.59,1888.97,132135.96,1337.34,0.542572934062468
2014,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,209420.97,133705.05,24893.56,33351.86,2087.94,138317.55,961.38,0.5893661015345252
2015,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,236081.49,154029.5,27999.54,33314.53,2350.11,153347.74,880.16,0.5512418310824435
2016,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,216340.63,152264.07,27806.05,31060.25,2119.06,127626.59,640.11,0.5084070924097993
2017,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,198876.97,152467.05,28108.18,36687.73,816.32,96997.64,636.41,0.5548591910301787
2018,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,197443.1,133575.97,25770.67,36437.05,2237.22,84878.32,772.88,0.8440779580437868
2019,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,211443.51,132507.68,24322.67,36120.61,3809.81,77412.51,-638.55,1.1322062845266812
2020,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,237846.99,141922.16,27310.59,40646.57,3059.19,90505.05,-1563.17,1.1940563882841242
2021,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,232826.74,131855.38,27016.5,42166.86,2203.85,105977.17,-1632.89,1.0917500221382521
2022,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,258007.97,150361.34,33912.56,44939.94,2757.32,126895.73,-1421.31,0.923827262959255
2023,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,262107.06,160984.98,39069.58,50424.69,6369.77,99340.49,-1273.56,1.0819898206255665
2024,ERICb.ST,Telefonaktiebolaget LM Ericsson,Communications & Networking,Communication Services,252093.34,140869.41,52535.04,54423.6,6701.0,96932.97,-1337.55,1.1131442280393766
