Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,4840.52,1624.72,2090.36,364.69,0.0,715.48,0.0,2.082699726058031
2005,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,4863.28,1494.2,2187.1800000000003,411.32,0.0,810.07,0.0,1.96676830397373
2006,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,5485.9,1629.07,2489.39,496.02,70.43,740.31,0.0,2.421998892355905
2007,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,5903.13,1631.72,2910.12,543.23,110.26,443.99,9.15,3.9596151299819042
2008,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,5937.53,1821.25,2967.27,588.81,134.03,693.58,0.0,2.3123359958476306
2009,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,6684.49,1953.69,3382.9300000000003,675.34,104.58,1451.61,0.0,1.321725532339953
2010,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,7409.83,2079.08,3799.63,661.49,94.28,2553.56,0.0,0.8217273140243423
2011,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,8412.72,2368.66,4262.33,662.26,86.84,3434.23,4.16,0.685538871390389
2012,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,8592.35,2438.6,4505.59,654.85,97.42,3997.62,-1.97,0.5519977976048952
2013,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,9383.15,2556.57,5059.719999999999,664.02,0.0,5653.55,-1.12,0.4300592842370451
2014,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,10479.22,2840.13,5737.44,762.45,0.0,6781.58,-2.43,0.39298437119697893
2015,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,12791.56,3322.33,7274.340000000001,915.14,47.98,8360.23,1.29,0.36620734029219554
2016,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,14975.64,3708.35,8945.2,1046.87,73.62,8511.31,6.11,0.3868941533938679
2017,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,16546.44,3968.19,9711.58,1152.94,86.56,9824.69,7.94,0.39999979659562074
2018,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,17957.27,4062.51,10805.03,1300.06,126.27,9354.27,11.94,0.45520226430968325
2019,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,19710.89,4775.4,12386.24,1477.06,154.3,10061.82,11.86,0.38436896943321597
2020,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,20819.29,6152.69,13191.74,1814.44,103.6,11615.73,40.83,0.27329675307294804
2021,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,24470.61,6077.68,13686.05,1556.66,92.94,10740.93,5.39,0.5742058676830768
2022,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,26743.65,6834.86,15721.81,1783.36,202.22,12073.05,1.41,0.4777124608471105
2023,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,33081.02,8087.63,18196.79,1877.57,704.47,13889.21,123.05,0.5687662090198151
2024,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,34933.64,8303.73,19921.79,2172.15,895.97,15092.83,126.25,0.524624353114643
