Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,0.12,0.0,0.54,0.0,0.08,3.46,0.0,-0.14450867052023122,0.0,0.0
2005,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,0.08,0.0,6.16,0.0,0.08,3.54,0.0,-1.7401129943502824,0.0,0.09
2006,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,0.65,0.0,0.34,0.0,0.0,4.56,0.0,0.06798245614035088,0.0,0.34
2007,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,4.38,0.0,12.299999999999999,0.0,0.08,26.62,0.0,-0.3005259203606311,0.0,0.26
2008,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,1.1,0.0,17.43,0.0,0.0,31.17,0.0,-0.5239011870388193,0.0,1.17
2009,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,4.03,0.0,14.16,0.0,0.0,24.12,0.0,-0.4199834162520729,0.0,0.01
2010,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,11.95,0.0,20.82,0.0,0.0,41.75,0.0,-0.2124550898203593,0.0,2.61
2011,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,12.88,0.0,47.06,0.0,0.0,31.25,0.0,-1.09376,0.0,22.1
2012,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,22.15,0.0,31.130000000000003,0.0,0.46,13.92,0.0,-0.6781609195402303,0.0,4.65
2013,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,40.65,0.0,44.54,0.0,0.59,35.84,0.0,-0.125,0.0,5.17
2014,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,48.86,0.0,48.91,0.0,0.26,36.89,0.0,-0.008403361344537738,0.0,5.4
2015,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,63.26,0.0,60.51,0.0,0.81,41.91,0.0,0.046289668336912435,0.0,5.32
2016,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,81.16,0.0,79.63,0.0,0.75,66.95,0.0,0.01165048543689322,0.0,5.78
2017,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,128.91,52.77,89.68,0.0,0.88,71.45,0.0,-0.20181945416375116,0.0,4.37
2018,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,178.03,74.92,103.88,0.0,0.91,91.38,0.0,-0.018384766907419525,0.0,5.67
2019,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,191.14,78.51,117.81,0.0,1.74,78.14,0.0,-0.08855899667263913,0.0,9.37
2020,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,226.83,92.12,120.97,0.0,0.88,208.62,0.0,0.061643178985715696,0.0,9.23
2021,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,261.73,95.71,134.17000000000002,0.0,0.42,225.15,0.0,0.13959582500555195,0.0,9.72
2022,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,286.3,100.85,179.79000000000002,0.0,0.5900000000000001,228.3,0.0,0.022207621550591312,0.0,9.62
2023,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,422.61,149.51,237.10999999999999,0.0,0.53,273.01,0.0,0.1298853521849018,0.0,8.82
2024,CRADb.ST,C Rad AB,Healthcare Equipment & Supplies,Health Care,476.98,154.38,257.09999999999997,0.0,0.53,334.12,0.0,0.1944510954148212,0.0,10.09
