Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2005,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,414.15,63.8,301.32000000000005,0.0,2.23,381.0,0.0,0.1228346456692911,0.0,10.22,1329.17
2006,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,478.23,102.52,326.76000000000005,0.0,1.81,406.27,0.0,0.116031210771162,0.0,11.56,1002.59
2007,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,592.42,141.31,429.1300000000001,0.0,1.82,461.35,0.0,0.0436978432860081,0.0,12.18,1381.77
2008,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,634.47,150.3,459.36,0.0,1.96,477.51,0.0,0.0478524009968377,0.0,12.07,1021.6
2009,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,729.51,180.63,553.98,0.0,1.67,487.04,0.0,-0.0139002956636005,0.0,28.3,646.75
2010,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,698.23,137.88,529.91,0.0,1.54,491.28,0.0,0.0588259241165935,0.0,25.37,623.57
2011,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,674.31,98.16,485.61,0.0,0.0,495.5,0.0,0.1827245206861755,0.0,0.0,606.52
2012,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,704.72,135.6,466.66,0.0,0.0,670.31,0.0,0.1528546493413495,0.0,14.22,833.99
2013,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,708.23,109.95,534.43,0.0,1.08,592.13,0.0,0.1060071268133687,0.0,39.84,1207.08
2014,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,786.17,109.99,570.7,0.0,1.28,559.66,0.0,0.1861844691419789,0.0,41.98,2007.89
2015,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,880.1,139.57,632.4000000000001,109.72,1.27,553.12,0.0,0.3915606016777551,0.0,38.74,3209.45
2016,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1059.3,151.75,781.0099999999999,116.03,1.38,546.21,0.0,0.4415700920891233,0.0,50.8,3458.71
2017,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1093.96,159.77,772.8000000000001,129.15,1.51,524.89,0.0,0.5506487073482063,0.0,55.870000000000005,5127.3
2018,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1174.0,175.05,821.84,153.51,1.44,605.51,0.0,0.543640897755611,0.0,38.760000000000005,6014.04
2019,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1311.84,236.15,894.8399999999999,159.78,1.16,661.77,0.0,0.5129727851066078,0.0,43.44,10134.62
2020,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1581.57,236.41,1108.62,195.7,2.62,857.86,0.0,0.5008043270463712,0.0,68.78,15534.97
2021,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1677.45,201.58,1164.6699999999998,207.39,1.89,879.49,0.0,0.587499573616528,0.0,81.1,21109.75
2022,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,1911.97,280.59,1300.01,243.56,1.53,1030.98,0.0,0.5561698578051951,0.0,79.66999999999999,22596.22
2023,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,2268.26,253.67,1630.15,260.34,1.99,1344.73,0.0,0.4780067374119711,0.0,88.71000000000001,32151.77
2024,SECTb.ST,Sectra AB,Healthcare Equipment & Supplies,Health Care,2971.69,432.39,2091.14,327.09,3.29,1581.8,0.0,0.488026299152864,0.0,98.31000000000002,42715.6
