Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2000,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,23.15,23.66,38.12,22.28,0.25,148.72,0.0,-0.1116191500806885,0.0,0.0,
2001,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,50.74,34.71,63.32,39.4,0.16,332.56,0.0,-0.0242061582872263,0.0,0.0,891.59
2002,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,71.41,0.0,122.76,91.61,0.0,314.64,0.0,0.1279557589626239,0.0,0.0,280.77
2003,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,58.57,0.0,147.25,115.05,0.05,282.72,0.0,0.0930956423316355,0.0,0.0,281.46
2004,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,53.91,0.0,143.83,115.7,0.0,194.26,0.0,0.1327087408627612,0.0,0.0,244.99
2005,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,24.36,0.0,147.29,123.04,0.02,185.97,0.0,0.0004839490240362,0.0,0.0,488.57
2006,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,44.23,0.0,143.72,117.79,0.01,100.3,0.0,0.1823529411764706,0.0,0.0,463.76
2007,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,124.32,0.0,146.98,122.09,0.0,180.07,0.0,0.552174154495474,0.0,0.0,870.68
2008,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,215.66,0.0,210.68,184.26,0.0,205.68,0.0,0.9200700116686114,0.0,0.0,732.53
2009,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,66.38,0.0,217.81,188.62,0.0,45.01,0.0,0.8262608309264607,0.0,0.0,1143.91
2010,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,69.59,0.0,177.3,142.89,0.0,64.37,0.0,0.5465278856610218,0.0,0.0,1574.4
2011,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,107.66,0.0,169.68,141.56,0.0,119.7,0.0,0.6644945697577276,0.0,0.0,938.86
2012,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,36.91,0.0,211.86,178.14,0.0,40.77,0.0,0.0782438067206271,0.0,0.0,208.83
2013,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,73.75,0.0,91.52,62.13,0.0,46.19,0.0,0.9603810348560295,0.0,0.0,271.62
2014,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,43.11,0.0,96.7,65.86,0.0,50.25,0.0,0.2441791044776118,0.0,0.0,288.65
2015,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,15.23,0.0,107.23,75.56,0.0,30.83,0.0,-0.5332468374959456,0.0,0.0,646.21
2016,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,70.0,0.0,132.75,96.76,0.0,218.53,0.0,0.1556308058390152,0.0,0.0,823.1
2017,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,43.59,0.0,144.27,103.47,0.0,130.31,0.0,0.0214104826951115,0.0,0.0,631.13
2018,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,36.1,0.0,157.45,126.56,0.0,85.51,0.0,0.0609285463688459,0.0,0.0,651.11
2019,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,87.23,0.0,220.54,183.14,0.45,158.87,0.0,0.3108201674324919,0.0,0.0,574.94
2020,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,150.83,0.0,228.83,184.16,0.34,776.36,0.0,0.1363027461486939,0.0,0.0,1887.25
2021,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,19.43,0.0,298.43,244.89,0.52,1331.83,0.0,-0.0260018170487224,0.0,0.0,2631.88
2022,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,309.87,0.0,357.9,296.51,0.62,1511.79,0.0,0.1639513424483559,0.0,0.0,1959.92
2023,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,71.12,0.0,439.95,373.06,0.63,1318.59,0.0,0.0027301890655928,0.0,0.0,1256.09
2024,BINV.ST,BioInvent International AB,Biotechnology & Medical Research,Health Care,45.45,0.0,524.81,447.29,0.56,910.7,0.0,-0.0358295816404962,0.0,0.0,2604.65
