Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2005,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,36453.93,23045.31,7571.5,844.73,0.0,21836.94,78.12
2006,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,43953.8,27424.13,8389.26,966.75,0.0,29697.6,83.77
2007,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,54912.79,34579.76,9840.189999999999,1114.64,0.0,12214.66,97.56
2008,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,63444.67,40872.06,10948.880000000001,1259.88,0.0,21009.74,125.38
2009,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,52476.17,35085.34,9926.210000000001,1160.43,0.0,20639.62,131.08
2010,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,58681.81,36504.91,10584.97,1273.99,0.0,25284.37,156.18
2011,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,70134.69,43228.84,11887.91,1558.97,0.0,24969.17,54.67
2012,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,77805.81,47930.68,13452.49,1748.06,0.0,29217.18,46.23
2013,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,75710.49,46719.78,13768.82,1910.63,-748.19,37365.51,138.54
2014,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,86090.38,53892.26,16925.78,2694.2,-823.97,48476.22,170.61
2015,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,94628.6,56742.93,19171.829999999998,3012.69,-900.65,48760.45,166.4
2016,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,99527.14,60132.04,20585.73,3040.14,-740.39,50360.45,68.28
2017,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,82941.74,47091.63,18079.02,2835.32,-608.13,60556.11,84.05
2018,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,89304.43,50702.27,19082.41,2964.86,-491.65,41400.85,45.87
2019,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,96553.65,54926.77,21380.16,3378.95,-503.44,49912.73,55.32
2020,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,102130.2,59983.21,22095.96,3850.34,-477.97,55567.14,333.1
2021,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,111156.79,64525.1,23638.049999999996,4134.1,-450.99999999999994,65893.39,0.97
2022,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,134279.19,77855.8,27534.239999999998,5120.33,-483.62,75278.63,47.06
2023,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,171848.42,97086.24,36555.520000000004,6661.39,-1043.05,92068.63,50.34
2024,ATCOa.ST,STX,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,179775.66,102744.21,38815.740000000005,7185.09,-1153.27,116894.47,61.69
