Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,250.08,124.45,15.080000000000002,0.0,17.92,921.94,0.0,0.10047291580797016
2011,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,336.78,174.85,17.450000000000003,0.0,19.86,163.54,0.0,0.7620154090742324
2012,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,0.0,0.0,9.61,0.0,1.52,176.41,0.0,-0.06309166147043818
2013,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,3.33,0.0,4.23,0.0,0.0,217.19,0.0,-0.004143837193240942
2014,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,1.06,0.0,11.39,0.0,1.12,362.36,24.04,-0.029632505175983433
2015,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,7.65,0.0,26.51,0.0,1.95,934.8,26.11,-0.021656554724167717
2016,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,135.64,0.0,22.32,0.0,1.75,784.08,23.69,0.13812099978954404
2017,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,73.98,0.0,19.09,0.0,1.53,410.85,26.22,0.12208570709497334
2018,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,64.03,0.0,20.64,0.0,2.0,302.11,20.18,0.12842471066430852
2019,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,57.67,0.0,11.99,0.0,0.0,350.88,20.16,0.12311341095299698
2020,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,174.48,0.0,19.3,0.0,0.0,772.36,0.0,0.2009166709824434
2021,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,136.88,0.0,29.79,0.0,0.01,1107.92,0.0,0.09664957758682936
2022,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,1.34,0.0,38.72,0.0,0.24,996.46,0.0,-0.03775364791361419
2023,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,55.48,0.0,20.79,0.0,3.04,865.71,0.0,0.036559586928648156
2024,SAGAS.OL,Saga Pure ASA,Investment Holding Companies,Financials,19.37,0.0,19.62,0.0,6.39,868.68,0.0,-0.007643781369434084
