Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,1250.39,658.71,451.29,0.0,63.03,606.95,115.02,0.10715126667313052,0.0,98.43
2005,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,1614.6,1038.43,516.07,0.0,82.86,905.01,77.03,-0.023176245366787713,0.0,99.33
2006,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,2707.66,1501.38,535.75,0.0,94.4,3553.8,83.2,0.1584080285949958,0.0,116.78
2007,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,3451.99,2211.81,1011.8000000000001,0.0,218.86,4141.39,87.22,0.002251330815563448,0.0,200.60999999999999
2008,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,4019.19,2291.77,1258.23,0.0,279.6,4628.05,991.72,0.033736256110125505,0.0,250.22
2009,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,11237.31,7203.02,2665.44,0.0,325.85,5515.8,1579.68,0.14699498835878602,0.0,465.54
2010,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,12496.53,7818.64,2883.58,0.0,283.96,6497.32,2613.54,0.16577469086343113,0.0,498.29
2011,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,12029.06,7440.82,3182.73,0.0,278.02,6685.75,2513.86,0.12255845628238585,0.0,507.75
2012,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,11004.91,7473.52,3035.48,0.0,291.78000000000003,7074.11,3045.69,0.020171347259827208,0.0,508.19
2013,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,12542.71,7478.86,3378.1,0.0,282.37,7656.56,3807.64,0.12241412396852808,0.0,579.16
2014,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,14228.43,8529.32,3928.9700000000003,0.0,263.26,8321.0,4039.0,0.12191585760517802,0.0,630.3
2015,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,15240.0,9373.0,4405.0,0.0,275.0,9036.0,4575.0,0.08720887517449122,0.0,749.0
2016,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,18905.0,10523.0,5353.0,0.0,311.0,9249.0,8965.0,0.14922587020972877,0.0,845.0
2017,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,20797.0,10489.0,6482.0,0.0,360.0,9787.0,9385.0,0.18078447736282077,0.0,920.0
2018,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,22630.0,11302.0,7263.0,0.0,348.0,11656.0,10798.0,0.1655384341320032,0.0,967.0
2019,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,23312.0,12564.0,7855.0,0.0,389.0,12279.0,11053.0,0.1073204183096177,0.0,1339.0
2020,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,22435.0,13079.0,7212.0,0.0,360.0,12109.0,10882.0,0.07759558087947457,0.0,1519.0
2021,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,26571.0,14109.0,9294.0,0.0,349.0,13372.0,11815.0,0.11192281732639854,0.0,1579.0
2022,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,31169.0,16294.0,10807.0,0.0,450.0,15322.0,12841.0,0.12846642758228882,0.0,1732.0
2023,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,33731.0,18739.0,11817.0,0.0,787.0,14827.0,12215.0,0.08830707787885511,0.0,1909.0
2024,AUSS.OL,Austevoll Seafood ASA,Food & Tobacco,Consumer Staples,35366.0,18522.0,13115.0,0.0,930.0,17078.0,12590.0,0.09434407442362142,0.0,2065.0
