Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2011,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,284.76,106.93,16.76,0.0,-87.06,1179.04,0.0
2012,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,330.27,89.55,18.82,0.0,-111.47,1554.47,0.0
2013,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,418.95,111.1,23.1,0.0,-136.37,2569.13,0.0
2014,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,482.16,120.52,29.67,0.0,-141.37,2843.3,0.0
2015,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,563.24,144.95,33.46,0.0,-130.22,3713.31,0.0
2016,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,674.7,177.34,38.59,0.0,-142.09,4415.94,0.0
2017,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,963.5,259.52,44.54,0.0,-188.83,5910.82,0.0
2018,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,977.67,246.29,46.82,0.0,-192.91,7055.47,0.0
2019,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,1045.98,267.08,48.39,0.0,-170.3,7957.94,0.0
2020,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,1168.82,280.43,55.27,0.0,-211.86,10037.9,0.0
2021,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,1203.65,278.61,58.13,0.0,-209.46,10783.32,0.0
2022,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,1167.73,275.54,55.11,0.0,0.0,12893.45,0.0
2023,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,1446.14,319.48,58.72,0.0,-498.63,12564.42,0.0
2024,PLAZb.ST,STX,Platzer Fastigheter Holding AB (publ),Real Estate Operations,Real Estate,1698.39,362.05,68.14,0.0,-586.81,13171.96,0.0
