Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,8030.48,4505.11,3601.08,0.0,54.79,2963.25,0.0,-0.04403948367501899,243.67,39.49
2005,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,9408.55,5529.91,3752.85,231.93,53.12,2861.01,0.0,0.10646589840650655,170.43,67.96
2006,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,11667.53,7200.21,4116.71,253.31,83.61,3075.46,0.0,0.1691811956585358,150.39,70.34
2007,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,14546.97,9328.23,4448.83,228.24,169.4,3453.72,0.0,0.2399586532782043,207.16,116.16
2008,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15278.34,9719.91,4955.48,216.23,215.35,4471.46,0.0,0.1350409038658515,303.3,138.12
2009,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,13703.02,8358.89,5092.98,202.13,180.68,4145.8,0.0,0.0657532924887842,285.14,145.62
2010,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15535.98,10674.72,5024.14,235.23,169.22,4290.84,0.0,-0.022575999105070462,300.38,150.62
2011,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,16325.03,10870.42,5305.320000000001,151.49,278.82,4224.73,0.0,0.005197965313759638,352.27,168.13
2012,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15319.69,9732.7,5202.42,121.53,249.48,5640.47,0.0,0.04549620864927913,361.67,176.87
2013,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,16557.66,10506.320000000002,5691.47,141.08,154.17,6335.51,0.0,0.054735924968944576,424.28,198.37
2014,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,17786.76,10980.539999999999,6468.28,157.31,118.4,7246.92,0.0,0.05200140197490796,409.71,213.82
2015,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,11199.61,8058.24,3069.81,249.56,94.81,7762.58,0.0,0.0291539668512274,324.69,61.72
2016,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,9716.35,6673.55,3348.3900000000003,278.64,98.45,8638.82,0.0,-0.014515871380582102,306.51,79.88
2017,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,13802.2,9474.849999999999,4528.889999999999,342.42,160.48,8036.58,0.0,-0.0024388483658468094,563.55,170.74
2018,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,14417.54,10129.54,4888.1,473.35,91.21,8873.31,0.0,-0.024563550693033377,637.54,200.67
2019,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,13215.8,9435.35,4851.57,424.32,126.01,7909.87,0.0,-0.09770198498837541,739.35,252.03
2020,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15765.28,11065.289999999999,5697.25,454.66,170.5,11276.57,0.0,-0.06323731418330207,755.99,287.38
2021,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,18574.54,13316.88,5618.39,333.3,110.76,11612.32,0.0,-0.011900292103558847,700.14,260.14
2022,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,20984.94,15194.15,5569.740000000001,376.5,82.77,11990.86,0.0,0.04293103246973098,632.88,229.13
2023,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,29285.09,20743.23,7068.03,430.06,108.37,17616.44,0.0,0.10192297649241286,817.91,209.9
2024,NKT.CO,Nkt A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,37786.96,26690.24,8400.98,499.64,92.96,21804.16,0.0,0.14228569227156646,952.81,232.39
