Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,187.01,0.0,107.78,0.0,0.0,0.0,0.0,,0.0,1.18
2005,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,153.95,0.0,153.03,0.0,0.0,0.0,0.0,,0.0,2.06
2006,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,213.78,4.64,240.98000000000002,81.91,0.0,0.0,0.0,,0.0,4.36
2007,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,315.47,2.14,302.44,136.22,0.0,0.0,0.0,,0.0,6.5
2008,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,497.11,3.18,404.74,0.0,0.0,0.0,0.0,,0.0,0.0
2009,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,612.74,0.96,557.46,0.0,0.0,0.0,0.0,,0.0,13.27
2010,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,692.24,0.0,571.02,0.0,0.0,0.0,0.0,,0.0,22.92
2011,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,895.28,19.61,661.66,0.0,0.0,0.0,0.0,,0.0,34.74
2012,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,1256.0,144.79,818.7199999999999,19.77,0.58,0.0,0.0,,0.0,56.4
2013,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,1763.9,342.08,1059.17,84.64,24.69,0.0,0.0,,0.0,122.26
2014,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,3031.79,868.93,1705.0699999999997,72.52,23.33,0.0,0.0,,0.0,214.39
2015,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,3662.17,1988.31,1616.61,129.01,18.54,-8.84,0.0,-18.972850678733057,0.0,322.52
2016,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,4468.46,2603.66,1923.56,161.21,50.38,4487.79,0.0,0.011602592812943626,0.0,394.62
2017,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,3463.35,2063.13,1673.81,123.99,34.72,3840.88,0.0,-0.04798900252025581,0.0,319.88
2018,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,2241.91,1310.63,1099.79,93.62,8.95,3133.26,10.37,-0.026669805288790416,0.0,245.85
2019,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,2118.58,1210.62,1018.8199999999999,95.02,14.96,2960.08,16.68,-0.010346820032518552,0.0,247.23
2020,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,0.94,2.82,341.62,96.93,0.0,2631.7,-3.43,-0.09381456243080048,0.0,205.16
2021,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,0.86,0.0,134.07,25.78,0.86,3093.79,0.0,-0.03500237572685929,0.0,60.16
2022,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,1.92,0.0,34.59,0.0,0.0,1052.14,0.0,-0.031051000817381717,0.0,0.0
2023,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,0.0,0.0,39.1,0.0,0.04,1104.97,0.0,-0.035421776156818734,0.0,0.0
2024,OTEC.OL,Otello Corporation ASA,Media & Publishing,Communication Services,0.0,0.0,36.85,0.0,0.01,897.4,0.0,-0.04107421439714731,0.0,0.0
