Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,DNO,Dno ASA,Oil & Gas,Energy,620.1,0.0,242.3,197.4,0.0,641.8,0.0,0.8962293549392335
2005,DNO,Dno ASA,Oil & Gas,Energy,792.7,0.0,254.4,160.6,0.0,967.4,0.0,0.7224519330163326
2006,DNO,Dno ASA,Oil & Gas,Energy,1192.5,0.0,308.9,339.5,126.3,724.5,0.0,1.513871635610766
2007,DNO,Dno ASA,Oil & Gas,Energy,1319.9,0.0,296.20000000000005,263.6,174.8,2424.7,0.0,0.4588196477914795
2008,DNO,Dno ASA,Oil & Gas,Energy,1362.0,0.0,390.8,356.8,194.8,2122.0,0.0,0.5340245051837889
2009,DNO,Dno ASA,Oil & Gas,Energy,869.1,0.0,360.1,155.8,113.1,1578.7,0.0,0.34946474947741807
2010,DNO,Dno ASA,Oil & Gas,Energy,1251.8,618.7,432.9,56.2,108.3,2109.1,0.0,0.07021952491584084
2011,DNO,Dno ASA,Oil & Gas,Energy,2070.2,1039.5,235.2,103.1,141.4,2157.7,0.0,0.3509292301988228
2012,DNO,Dno ASA,Oil & Gas,Energy,3049.88,1211.81,234.92,77.92,0.0,4010.92,0.0,0.41912329340899346
2013,DNO,Dno ASA,Oil & Gas,Energy,2956.48,1224.33,333.27000000000004,60.54,121.67,4601.29,0.0,0.2907336855533992
2014,DNO,Dno ASA,Oil & Gas,Energy,2850.19,1995.76,558.6800000000001,319.07,151.34,3981.08,0.0,0.11642066976800262
2015,DNO,Dno ASA,Oil & Gas,Energy,1510.99,1588.39,578.92,189.48,238.66,3855.92,0.0,-0.18296541422021204
2016,DNO,Dno ASA,Oil & Gas,Energy,1694.35,1080.59,476.06,170.44,297.23,3471.21,0.0,0.003142996246265702
2017,DNO,Dno ASA,Oil & Gas,Energy,2871.52,1671.33,605.05,272.77,300.87,7188.51,0.0,0.07888143718239246
2018,DNO,Dno ASA,Oil & Gas,Energy,6750.98,2854.08,853.1400000000001,526.7,375.28,10520.21,0.0,0.303718271783548
2019,DNO,Dno ASA,Oil & Gas,Energy,8546.45,4763.28,1687.47,1288.04,783.91,10194.36,0.0,0.2550263086647912
2020,DNO,Dno ASA,Oil & Gas,Energy,5786.73,5552.4,596.6500000000001,526.07,821.57,7253.47,0.0,-0.09069038680796918
2021,DNO,Dno ASA,Oil & Gas,Energy,8629.92,3808.3,1379.4499999999998,1137.08,637.73,8972.27,0.0,0.43930019939212706
2022,DNO,Dno ASA,Oil & Gas,Energy,13229.43,4428.06,1173.07,927.12,552.43,13415.33,0.0,0.596555582307703
2023,DNO,Dno ASA,Oil & Gas,Energy,7043.03,3849.14,832.51,503.3,470.59,12514.82,0.0,0.19130039425257414
2024,DNO,Dno ASA,Oil & Gas,Energy,7163.96,4371.65,1234.46,955.12,583.39,12274.96,0.0,0.1571964389293326
