Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,6.52,4.11,6.92,0.0,0.44,0.22,48.14,4.25
2015,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,86.09,76.87,17.2,0.0,1.83,0.25,127.17,16.47
2016,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,46.92,33.93,19.39,0.0,0.0,0.73,305.86,29.42
2017,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,247.86,176.17,244.73,0.0,0.0,9.77,407.83,204.57
2018,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,390.34,240.06,372.78,0.0,21.47,13.66,2535.28,196.66
2019,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,555.1,320.68,490.4,0.0,13.13,70.32,3799.41,450.4
2020,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,1525.58,1049.42,1431.6,1.04,62.65,117.99,12912.59,1280.38
2021,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,1831.64,1103.86,2811.77,581.64,72.1,123.73,19533.31,1623.58
2022,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,1586.97,930.91,1859.0,74.36,37.65,101.66,22708.96,1926.89
2023,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,1641.03,812.46,1458.8,27.18,20.14,91.62,22757.92,1682.02
2024,SFRG.ST,Stillfront Group AB (publ),Software & IT Services,Information Technology,1817.67,983.89,1915.34,0.0,77.11,116.18,16829.93,1715.67
