Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2015,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,79.75,28.19,97.08,6.64,2.07,0.43,898.94,3.71
2016,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,77.07,21.43,125.66,10.92,2.27,1.81,1312.35,19.71
2017,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,156.8,10.31,184.32,41.03,1.2,7.4,2215.03,48.71
2018,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,190.49,51.53,319.2,202.49,3.12,10.05,3266.3,37.93
2019,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,823.17,730.44,480.93,340.47,5.34,7.88,5038.72,46.06
2020,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,714.86,530.04,1004.73,885.27,0.31,23.7,7998.16,-65.91
2021,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,446.8,91.58,1405.4,923.13,0.0,238.7,11187.35,326.02
2022,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,371.42,33.32,2431.01,1929.5,0.0,260.73,14375.0,142.62
2023,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,258.64,5.84,4034.81,3486.22,0.0,277.16,16920.9,202.64
2024,KFASTb.ST,K-Fast Holding AB,Real Estate Operations,Real Estate,302.05,9.77,6135.06,5613.4,0.0,292.49,17956.62,31.22
