Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,3736.65,892.37,3131.99,93.16,94.08,1665.1,6594.62,1341.56
2005,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,4009.72,542.61,2821.75,26.330000000000002,375.33,1262.7,6427.27,1010.57
2006,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,2870.88,335.98,2834.46,74.66,71.02,1334.83,5531.42,1009.39
2007,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,3051.14,396.11,3112.54,319.58,14.3,1183.28,5557.32,1010.63
2008,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,3298.14,277.44,3708.96,626.01,0.0,1370.3,6535.81,985.32
2009,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,2820.56,255.68,3064.91,244.35,6.47,1194.25,5803.76,1282.24
2010,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,3211.2,273.31,3535.7,383.51,0.0,1377.84,6649.72,1146.34
2011,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,3416.17,275.06,3751.97,549.26,0.0,1562.74,7182.89,1195.36
2012,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,3659.53,445.99,3910.35,313.3,0.0,1557.98,7550.19,1645.79
2013,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,4026.17,430.7,4008.26,60.31,0.0,1805.74,8415.18,1440.42
2014,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,4915.2,1062.98,4443.61,92.97,0.0,1815.4,9289.8,1863.8
2015,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,6199.84,2023.01,5173.16,41.86,42.91,2019.87,11027.64,2385.48
2016,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,5749.65,1636.8,4989.1,36.98,30.35,1706.02,9994.33,2200.56
2017,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,5837.77,1376.89,5702.68,49.03,27.02,2033.31,11476.41,2453.79
2018,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,6269.9,1533.08,6208.42,50.74,0.0,2148.84,11948.43,2530.34
2019,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,5073.69,748.25,7023.1,0.0,0.0,2572.95,16215.0,3308.23
2020,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,6725.7,1601.8,8601.08,0.0,13.57,3040.71,19645.59,4964.91
2021,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,7312.94,715.12,11748.83,1558.85,91.58,3716.87,23120.61,4600.13
2022,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,7962.16,526.17,11994.54,188.25,0.0,4983.06,26937.13,5631.51
2023,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,8910.87,692.65,13810.8,522.51,0.0,6059.72,30221.06,5779.57
2024,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,9052.38,755.65,13535.91,2.06,10.28,6708.32,36427.48,5551.79
