Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2015,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,36.12,24.86,10.61,0.0,0.0,0.41,55.14,26.57
2016,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,64.32,49.78,20.02,0.0,0.0,7.33,75.14,56.91
2017,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,67.54,20.96,173.87,6.0600000000000005,16.71,8.83,381.06,76.9
2018,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,247.12,158.3,240.39,178.15,9.45,13.8,1472.64,62.44
2019,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,354.61,223.92,217.36,214.42,36.76,50.49,2259.41,197.54
2020,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,508.67,221.33,275.65,817.91,20.8,56.52,3300.68,286.04
2021,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,629.7,286.36,555.15,1261.0900000000001,17.37,43.7,5980.65,320.72
2022,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,996.27,330.22,682.19,2349.6800000000003,54.74,92.71,8232.55,486.52
2023,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,1183.51,487.13,1157.57,3367.8199999999997,75.54,241.4,10490.02,1015.36
2024,BETCO.CO,Better Collective A/S,Software & IT Services,Information Technology,1299.92,443.31,861.75,3550.34,56.06,266.32,13792.27,575.14
