Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,140.41,55.78,102.56,0.0,0.0,10.75,219.29,34.28
2005,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,185.98,71.53,134.39,0.0,4.36,12.29,340.62,32.43
2006,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,258.24,71.74,196.35,0.0,12.11,17.51,470.73,28.93
2007,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,314.28,91.6,260.62,20.78,11.75,23.33,685.73,88.54
2009,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,330.75,105.66,336.96,42.43,24.0,22.29,958.66,118.18
2010,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,444.18,139.6,460.31,89.4,26.36,27.78,1314.34,118.05
2011,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,502.61,109.6,478.73,84.38,40.34,31.82,1364.56,92.84
2012,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,538.27,86.63,533.65,143.04,0.0,33.3,1381.55,8.56
2013,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,547.37,98.43,613.44,101.13,30.57,34.05,1503.26,95.64
2014,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,531.98,87.53,589.63,27.25,34.39,33.86,1500.99,89.74
2015,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,548.32,6.98,633.45,16.28,25.87,45.34,1543.95,65.53
2016,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,609.13,42.49,598.8,13.73,38.89,40.12,1528.35,189.62
2017,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,817.0,105.23,748.13,14.22,62.12,41.46,1795.18,190.64
2018,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,886.64,189.91,675.13,7.03,59.7,41.5,1876.19,256.69
2019,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,934.74,261.02,721.98,0.0,45.36,20.07,2087.42,283.86
2020,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,1477.04,705.42,1148.04,162.19,64.13,25.35,3195.84,451.68
2021,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,2037.58,829.48,1877.25,443.61,146.57,33.0,6172.44,463.8
2022,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,2008.84,468.42,1711.35,0.0,102.71,74.47,7158.84,451.65
2023,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,1874.63,128.47,1696.99,0.0,134.78,84.23,7073.7,397.88
2024,KNOW.ST,Knowit AB (publ),Software & IT Services,Information Technology,1882.91,408.99,1649.81,7.86,124.24,76.33,7000.61,636.81
