Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2006,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,118.91,96.52,28.23,0.0,0.0,605.04,840.41,0.0
2007,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,255.41,87.46,67.28,0.0,0.0,905.59,1161.67,26.61
2008,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,168.24,139.7,28.9,0.0,0.0,339.24,663.1,-99.39
2017,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,55.74,27.02,182.02,138.39,0.0,873.66,929.4,29.34
2018,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,71.04,34.84,178.78,138.47,0.0,917.9,988.94,20.13
2019,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,115.9,37.79,1063.12,681.77,0.0,2287.99,2403.89,38.99
2020,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,478.35,467.8,90.95,0.0,15.25,3468.6299999999997,3947.5,99.18
2021,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,217.65,185.31,79.21,0.0,3.9,3895.46,4114.48,56.22
2022,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,248.12,223.93,297.82,220.26,1.69,4060.99,4408.89,51.59
2023,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,157.86,120.21,225.01,116.99,0.6,4448.79,4641.89,101.92
2024,ANNEb.ST,Annehem Fastigheter AB (publ),Real Estate Operations,Real Estate,317.37,287.35,57.88,0.0,0.0,4834.41,5176.77,57.87
