Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,12523.29,8561.64,3668.82,175.28,149.01,5545.19,95.87,0.05656738272594185
2015,14361.4,9286.02,3932.85,140.3,124.4,6043.83,123.22,0.18784183685878975
2016,14045.4,9458.99,4004.26,338.75,81.71,7371.49,87.55,0.11250643514446894
2017,21133.0,13970.0,5692.0,387.0,454.0,8463.0,102.0,0.163922942206655
2018,24968.0,14815.0,5248.0,495.0,372.0,13622.0,101.0,0.3663921882970196
2019,22246.0,15208.0,5341.0,494.0,263.0,12856.0,96.0,0.14885731933292157
2020,24025.0,16886.0,5425.0,548.0,250.0,12528.0,108.0,0.1592276036720481
2021,33083.0,20391.0,5866.0,716.0,229.0,19789.0,86.0,0.3679496855345912
2022,45018.0,26894.0,7062.0,1000.0,279.0,28640.0,134.0,0.4095016334190589
2023,21134.0,13487.0,8355.0,335.0,649.0,24325.0,133.0,-0.04178591871780195
2024,17810.0,11079.0,8569.0,294.0,759.0,25912.0,109.0,-0.08850543791552977
