FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,median_sigma,tau2_at_floor
2010,312,0.11508326208917896,0.45087357972713193,0.11969454509934935,0.3311790346277826,0.07300706714445795,False
2011,323,0.12137756737293512,1.0813948848383437,0.26669664499753487,0.8146982398408088,0.0725712787000759,False
2012,337,0.0984680481771584,0.364450488219796,0.08591936324884501,0.27853112497095095,0.0689704292887093,False
2013,351,0.0708174236571791,0.40741687747756306,0.08707171020862044,0.32034516726894263,0.0664718077738771,False
2014,364,0.051391829542892155,0.6864673554697251,0.18818281182326402,0.49828454364646113,0.0598118128349343,False
2015,376,0.1524870170495157,1.1762923118045194,0.3749560737317903,0.8013362380727291,0.050168048200728205,False
2016,399,0.04008419442116522,1.3687476686128381,0.4921498193669466,0.8765978492458916,0.0475013310500078,False
2017,429,0.12180367571394159,0.564870318317524,0.16296262500529515,0.40190769331222886,0.0476515760149396,False
2018,443,0.050698035802394494,0.3208778625998575,0.10053805652555324,0.22033980607430426,0.0460961760536344,False
2019,478,0.0654837325334686,0.934760479545971,0.40426186096161615,0.5304986185843548,0.0445195568539997,False
2020,502,-0.26720923454203876,34.8275755787413,14.736068924399733,20.091506654341572,0.0463595719335758,False
2021,525,0.07684769324426026,0.1928416741520648,0.07954999515090608,0.11329167900115872,0.046861508155951,False
2022,540,0.06321902969871686,0.4694859897229268,0.23788196009008825,0.23160402963283858,0.046653974526386754,False
2023,568,-0.20125305270584765,54.588305359287,28.504707708449022,26.083597650837977,0.04532807015459625,False
2024,587,0.16135429518322722,2.7946747356412605,1.3979822622310996,1.396692473410161,0.0449012562929546,False
2025,612,0.09128858029349661,0.5669210502768152,0.35672087774953076,0.2102001725272844,0.04226285406231565,False
