Method,Method1_Raw,Method1_Raw,Method1_Raw,Method1_Raw,Method1_Raw,Method2_PostMean,Method2_PostMean,Method2_PostMean,Method2_PostMean,Method2_PostMean,Method3_ProbQ5,Method3_ProbQ5,Method3_ProbQ5,Method3_ProbQ5,Method3_ProbQ5
Portfolio,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5
Date,,,,,,,,,,,,,,,
2010-01-31,-0.0165882940982102,-0.0012395339203163118,0.0033424735392135704,0.040661375877342615,0.015202488600057946,-0.008212082901882144,-0.022737428280194823,0.009713274296677702,0.008881297115012154,0.02377568396448024,-0.01036683322500222,0.026529613484353464,-0.03706161864922476,0.034455239589163515,0.023677508535228417
2010-02-28,0.028110797818735732,-0.0490861987940138,-0.02068233930433483,-0.025666038603220188,-0.020507640063807765,0.013302906676531417,-0.05220270781338501,-0.02155554682988906,-0.028369908590440977,-0.02060531403544902,0.005622336385238096,-0.0586233090102135,-0.0173876555136967,-0.045357247461210955,-0.02043609179254753
2010-03-31,0.10407679799009205,0.11929340704144469,0.0542866183331214,0.09039475979923421,0.0630143900352105,0.12261344909626591,0.0967271138130451,0.05408014183053009,0.10395932057745082,0.06343505927396298,0.08383260292683803,0.09897577109688001,0.10237042437746177,0.09284356344107615,0.06298495932029993
2010-04-30,-0.07564276955257392,0.0932987270198287,0.04521926493654734,0.06429286000257815,0.006852458533800286,-0.004547036311175499,0.028346891259028992,0.04808086288943547,0.04015883638985878,0.017788753012494683,-0.006584352681351439,0.07874881911411616,0.07574344380839634,0.027066922518577303,0.017542574813971985
2010-05-31,-0.05438092753191139,-0.09401378016256383,-0.05790004798199212,-0.061084867495748825,-0.040833493070619106,-0.06712733845319868,-0.09564206587321002,-0.056672168613062616,-0.0703936702452914,-0.041441160124287155,-0.058297632318175446,-0.06331376141432725,-0.1068727048795874,-0.07058617753147983,-0.04141191769438832
2010-06-30,-0.002080665137393842,-0.006120764446631741,0.02966423788022778,0.011725781602445938,0.028224782611604958,0.015468816290363532,-0.02952650194742131,0.023944653807035088,-0.031923327550016804,0.03451850794821189,0.03127585627936901,0.00016346898206461764,-0.05015939785836229,-0.04140811231343593,0.034586967524992934
2010-07-31,0.07697749900925147,0.05138918901787104,0.0460573962799689,-0.02094038948090457,0.021299632893372965,0.06435918700872142,0.06511090869966349,0.04464705436859354,0.02470064391742789,0.007994397107990448,0.07003497181700481,0.032054252372157636,0.03749876072804607,0.016536512264600168,0.007959929517810828
2010-08-31,-0.00895139337772922,-0.044814713180797196,-0.03683641593239216,-0.070033138748845,0.0018222881165514664,-0.019976897051123974,-0.04650996371163348,-0.0351709381583244,-0.053798648654782046,-0.009250201186757847,-0.015572958977012979,-0.047554822940058264,-0.07261124386867875,-0.05703669485080274,-0.009212701956897593
2010-09-30,0.028535150048208,0.1259761229133567,0.04136753249049268,0.07865047897696001,0.02934466351102541,0.06089545519162437,0.1154220529280537,0.0426188455835038,0.10518715282271363,0.029730006560272304,0.04889569877574519,0.0628454723528022,0.11676937378555118,0.12393559276074421,0.02978098610404774
2010-10-31,-0.018086472376973566,-0.019471154346975897,0.01886656681794112,0.024956183823101878,0.015528777047662569,-0.036901753774107454,0.005244521537892814,0.021631237702102752,0.04552102520941313,0.01264009328756383,-0.014482769128755957,0.020833920459343964,0.026210218101551448,0.03738883274900588,0.012973538359127505
2010-11-30,-0.030364789950647033,0.06556479200815807,-0.011851435065568674,0.02176292827631177,-0.0004440064090138877,0.012869157238053184,0.0391376199439056,-0.010979064419134548,0.038926505777370765,-0.0015449311307781355,0.00020930628648508937,0.01571855624863407,0.043344655655116825,0.02622704551162945,-0.0014667909465362072
2010-12-31,0.0983285690238846,0.1158465541973138,0.04668181784037566,0.08767515461074149,0.04101951585869519,0.11788739217575103,0.09519678477371263,0.047555920070569684,0.09329423078589788,0.0445015040971512,0.07307171356734596,0.10407235365830443,0.0825303986810837,0.09850423359647556,0.044594237689054315
2011-01-31,0.004897179164475414,-0.006479942941168006,-0.011352023340932141,0.0019900520784754067,-0.023427252465017926,0.0059543465026620414,-0.008207414140533074,-0.009136993122382971,0.0011326890185657896,-0.023801068871725357,-0.004093053095351417,-0.03190262458024327,0.0034486902236602252,0.00765621020862283,-0.023621606008111688
2011-02-28,0.01436700978173007,-0.02272879836974354,0.009379626257901886,0.0045682739192810795,0.010191050863060064,0.01405718151840448,-0.02330816903432021,0.00891463038098198,0.0018732710445161155,0.011829458067795878,0.005198070909518021,-0.0025647288266169074,0.02018349322028007,-0.0026678977682807288,0.010224856745980098
2011-03-31,-0.01903864535826414,0.0050864183984829624,0.019853051760610516,-0.00781919092472539,0.00592209638524101,-0.018136611203459902,0.0043852357332463945,0.024852809123480174,-0.00829945657305285,0.005312870730591325,-0.005180746302587313,-0.0015592306118407974,0.030049022997312564,-0.012059902853961607,0.0059158341792187735
2011-04-30,0.06108058855313936,-0.023291630004469502,-0.04765558942064799,0.033916211049020296,0.019855875289726117,0.05967258781829365,-0.02394549883272342,-0.04697795928816295,0.034185899239722144,0.018733746387826333,0.0007685813059840722,-0.004011367840493757,-0.02989064825864731,0.046480767996913225,0.01982186721052758
2011-05-31,-0.02409738892603753,-0.026521692207851222,-0.018313246775935387,-0.04460830577691397,-0.0030949166705568315,-0.02306754353142643,-0.02793873145594867,-0.03173018302696475,-0.037512818005138025,-0.003079632146198007,-0.006776431822146419,-0.04105278067606289,-0.09282585519081901,-0.030348484290325765,-0.0028829116203386513
2011-06-30,-0.03992207878551223,-0.044728530083348164,-0.04749214662496331,-0.045029701790393374,-0.02254608772012428,-0.03935819322098966,-0.04551372682767114,-0.052745311844930066,-0.04248676641953028,-0.02247349735860527,-0.03578715917056396,-0.0458041411651909,-0.051524955052007125,-0.0510347596177097,-0.022192146420991106
2011-07-31,-0.06907362822060086,-0.034199565717564474,0.00727919410235046,-0.08364089066544335,-0.03321791793782169,-0.0681753901691244,-0.03427129145832218,-0.0034415266244226276,-0.07923866092832715,-0.031473540908425066,-0.025756732940243433,-0.019899941985080345,-0.03748816971372741,-0.09911364496538447,-0.03311356647450936
2011-08-31,-0.1293417745778764,-0.12539169945451242,-0.0653425128000913,-0.09128121085609878,-0.07367326204441002,-0.13339711239723281,-0.1194929948235704,-0.05957593184753123,-0.09411162037046544,-0.07312453077796072,-0.09271393213320693,-0.10781280930121886,-0.10812644501535712,-0.09538212114630576,-0.07346614215844754
2011-09-30,-0.13384323057838154,-0.09247792510580899,-0.02940463448472236,-0.0663955832395586,-0.032154686000805524,-0.13242149364001626,-0.09320453342053608,-0.028020568968490416,-0.07296916921017303,-0.028668566365677488,-0.0627324610920631,-0.08626964375746757,-0.10579398491068782,-0.06965577983750434,-0.03180067555487687
2011-10-31,0.060219964036252446,0.09211289212315735,0.04264099228539541,0.0858681507036774,0.08682069475579005,0.059342047602191306,0.09368711167876292,0.03987810177523217,0.08653226761521432,0.08664563815984065,0.05662033301215623,0.09153160426191984,0.07882647721643449,0.07890119975593231,0.08684210761474237
2011-11-30,0.02957563609064026,-0.030926656472452876,-0.008930905433586355,0.0037363272429356,0.01830547692910045,0.029059891266639805,-0.03190054914131872,-0.0044744637126934795,-0.001499486593525725,0.01955995998153146,0.01711762833735256,-0.055606054848126155,-0.03150631426409744,0.010966323035018754,0.01832561523719474
2011-12-31,0.00983944851733003,-0.0018054600183995016,0.006418232361034091,0.0017519071581868087,0.018368782054501914,0.009306756933810048,-0.0013008695675747544,0.00898108811454953,-0.0009978564821794386,0.01910400014696602,0.007786323970405485,0.0057332533080878545,0.005095237257036599,-0.0021719087340516243,0.018618855949509388
2012-01-31,0.06426917730997272,0.03667710557842212,0.08801382610720526,0.06986775447239532,0.02551206244501889,0.06485883816313867,0.03521786547394983,0.08303647485622938,0.0752040486984913,0.025666401873601655,0.041671938269425404,0.08025181702819086,0.09536891729114177,0.0734052993662005,0.02589426715249154
2012-02-29,0.0056695231528915025,0.05829037536728917,0.05147060593869092,0.07208460437038054,0.05359296329098341,0.006250679508979726,0.059011624277464425,0.04627873516771188,0.0730058693986317,0.05340357285432148,0.02645920102868311,0.04773181119318585,0.05632009426911083,0.0607769483989126,0.05352932873590012
2012-03-31,0.0071306920244666285,-0.025759794142116234,-0.023398407170803083,-0.010764889937593267,-0.01483670237282282,0.0077472866269680815,-0.02674386438058487,-0.018787040962825404,-0.013983878847177568,-0.0151184624085799,-0.000967071136444583,-0.023744665285727752,-0.018327854270083727,-0.02453593482783044,-0.014811980156562016
2012-04-30,-0.05172993821212975,-0.030962558900250105,0.0026305232213743824,-0.031977992173029976,0.005452943708681378,-0.05055282617731959,-0.03334545992647321,0.013655181372424056,-0.03470800374436205,0.005467349616676267,-0.04132452235931307,-1.0429179032359634e-05,-0.032055456777526,-0.023207830065280214,0.0053994724482701985
2012-05-31,-0.09661417374681738,-0.05980638462389967,-0.06219630464737222,-0.10208742625815956,-0.07591181556537369,-0.09792488309794382,-0.05859754100908045,-0.05182226904284858,-0.10278729276462954,-0.07596190609469955,-0.08301036814837055,-0.0867731055709348,-0.055589291981636965,-0.10724977789040406,-0.07596550367563056
2012-06-30,0.022371106960804136,0.013466702092575247,0.02970016532757203,0.0032314856705999867,0.03699454538053214,0.021414986728444444,0.01453755089215535,0.034680145494589386,0.0018524840431303525,0.037089845946599476,0.01672268784767346,0.004668677603486905,0.025483996116480084,0.01875710931998833,0.036945481915389926
2012-07-31,0.05291339055571885,0.011433804357610825,0.025532935110233194,0.0504860931713152,0.04550668910741812,0.05290478493633944,0.011264948085902875,0.02428913156467727,0.04822697261600552,0.04542389055338981,0.046706146627344534,0.008617842739395648,0.02002364081902513,0.04010528662164024,0.04552078012779063
2012-08-31,0.008298722792806142,0.010324693217328148,0.014644150672537494,0.00962755512977948,-0.014868006534591983,0.00819638396428899,0.011442243716251722,0.017270318806750777,0.008453126065968073,-0.015006321096051082,0.010437124263461207,-0.005377598262911638,0.006370248786169129,0.025228857127807213,-0.014862294661317013
2012-09-30,0.049113680405794814,0.02809803603778661,0.026525518168164702,0.04587123078079326,0.006064742758169759,0.04902277753907873,0.027241611796727305,0.031103878537005285,0.04226143316942326,0.005911026630375339,0.040373661985436,0.039028130213876244,0.02831706099278862,0.047775627112176734,0.005977188399520253
2012-10-31,-0.015066837677949427,-0.04681261860482701,0.006864966136046997,0.0008541663201388805,-0.009980687994686504,-0.015236012188877213,-0.047811628443067716,0.004510842173135032,0.005328956063263477,-0.01020017355006431,-0.030620745944752004,-0.017891873823815328,0.012974504090944475,-0.007153961093649156,-0.010018698765614224
