Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2005,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,499.37,69.93,254.61,,9.86,,653.57,32.74
2006,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,467.76,46.27,238.09,,9.25,,632.66,73.24
2007,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,673.11,81.96,434.21,,15.69,,975.66,66.71
2008,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,631.03,67.73,361.81,,10.29,,904.53,102.78
2009,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,542.02,48.98,301.21,,7.35,,856.3,116.24
2010,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,438.82,23.92,254.05,,5.77,,728.34,71.5
2011,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,592.67,49.02,484.11,,14.88,,1124.06,101.06
2012,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,600.08,31.9,519.9,146.57,31.9,75.01,1160.5,150.07
2013,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,651.38,32.26,679.15,249.98,,112.0,1438.05,152.89
2014,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,784.51,35.15,796.54,249.79,22.2,129.52,1736.47,212.32
2015,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,882.56,74.71,928.33,353.03,29.89,155.97,1966.86,245.34
2016,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,1077.72,68.18,1038.03,312.43,26.46,209.64,2627.65,251.49
2017,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,1128.99,116.92,993.86,261.64,44.09,214.68,2770.72,361.21
2018,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,1328.54,126.08,1635.27,807.29,38.58,236.16,3417.32,274.53
2019,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,1415.52,128.94,1072.31,153.98,43.6,246.74,3574.98,429.13
2020,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,1658.28,123.19,1645.64,585.4,110.55,505.38,4578.95,477.61
2021,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,1576.0,147.9,1550.54,522.07,69.54,573.98,4515.46,806.93
2022,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,2204.18,196.47,1678.39,338.67,97.3,693.25,5807.01,585.4
2023,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,3098.8,362.9,2060.49,159.27,174.4,980.85,8097.8,1025.19
2024,LAGRb.ST,Lagercrantz Group AB,Consumer Goods Conglomerates,Other,3576.56,360.5,3178.49,660.07,251.84,705.77,9994.47,1331.37
