Ticker,Year,FormationYear,PROF,PROF_w,sigma_acc,sigma_mean,sigma_raw,MarketCap,theta_obs,theta_post_mean,theta_conservative,theta_post_sd,theta_post_sd_between,theta_conservative_sd_between,p_q5,p_q5_sd_mc,p_median,p_median_sd_mc,p_q1,p_q1_sd_mc,lambda_i,mu_t,var_obs_t,obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,n_sigma_draws_used,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,FiscalYear,ForecastDate,ForecastCutoffDate,ForecastWindowStart,cfo_forecast,forecast_timing_valid,has_analyst_cfo_forecast,CFO_lead1_analyst_scaled,firm_idx_y,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws
AAK.ST,2013,2014,0.1895951002584571,0.1895951002584571,0.0182255630962541,0.0182255630962541,0.0182255630962541,15967.29,0.1895951002584571,0.18926059857802363,0.18517845643104203,0.03036035076463683,0.0,0.0,5.051108517473146e-05,0.0,0.7823983470139901,0.0,1.053846327114639e-05,0.0,0.9779167808629246,0.1744477760229303,0.05266748231303295,0.0009425657853405695,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,AAK AB (publ),Food & Tobacco,Consumer Staples,5294.71,217.71,2718.04,72.57,133.83,2852.81,9466.96,1173.27,14924.95,11545.02,2527.05,0.0,73.1,4080.83,32.04,421.3299999999999,-64.78,435.00999999999976,14.359999999999992,8.850000000000009,74.31000000000017,8354.86,8910.91,0.0083392156356646,1173.27,1322.65,391.3100000000013,0.1484304072199135,0.131666687240697,0.0439135845833928,0.3201479983525813,635.66,0.0713350263889995,True,2,3,2013.0,2014-05-09,2014-06-30,2014-02-05,855.032029336133,True,True,0.0959533907688589,3,0.0162418219963058,0.0087824258655645,0.0086096576640008,0.0342055388642985,8000
ABB.ST,2013,2014,-1.2281880363871074,-1.2281880363871074,0.056599488859686,0.056599488859686,0.056599488859686,356410.22,-1.2281880363871074,-0.9773469480553694,-1.2639551380270888,0.08639775751871709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8211644918000933,0.1744477760229303,0.05266748231303295,0.009090228058814107,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,160301.98,14644.05,101155.55,2748.03,0.0,37938.64,291570.64,21471.25,245970.09,350969.37,44458.94,8640.22,2292.3,113306.35,3215.14,4526.850000000006,-843.3400000000001,-4396.809999999998,-11365.3,0.0,-1598.2999999999956,272976.41,282273.525,-0.0056622384263632,21471.25,21974.24,17237.959999999992,0.0778473291110103,0.0760654050003449,0.0610682847426091,0.1344038198410566,24245.53,0.0858937443743617,True,5,4,2013.0,2014-06-12,2014-06-30,2014-02-13,30063.102339958,True,True,0.1065034432115374,4,0.0537952696026236,0.0182840660118638,0.0319318766732963,0.0903376578578151,8000
AFRY.ST,2013,2014,0.1632392564334333,0.1632392564334333,0.0449318434735941,0.0449318434735941,0.0449318434735941,7950.61,0.1632392564334333,0.16459195178538294,0.13910234270189656,0.07097435673483206,0.0,0.0,0.02094825415465207,0.0,0.4850231967764643,0.0,0.07380675688608739,0.0,0.8793154313423164,0.1744477760229303,0.05266748231303295,0.00572872843392892,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Afry AB,Professional & Commercial Services,Industrials,2426.44,176.9,2101.2,0.0,0.0,273.03,6666.83,383.66,7524.3,2100.79,4814.3,0.0,43.95,3450.8,11.97,-98.50999999999976,-249.15,51.00999999999976,-371.77,-46.65,-318.7899999999995,6433.84,6550.335,-0.048667739894219,383.66,414.84,2542.76,0.0633311120728939,0.0585710501829295,0.3881877797089767,0.0416818376464715,551.79,0.0842384397133887,True,5,16,2013.0,2014-05-20,2014-06-30,2014-02-11,620.644970543577,True,True,0.0947501113368365,16,0.0423060920504085,0.0161041851142758,0.0238817356286457,0.0746882446154498,8000
AKRBP.OL,2013,2014,-0.5894380926919025,-0.5894380926919025,0.0922416262169397,0.0922416262169397,0.0922416262169397,9385.18,-0.5894380926919025,-0.3095045025216074,-0.6627300860733896,0.12367697740800186,0.0,0.0,2.0317081350640365e-13,0.0,5.063958141704461e-10,0.0,0.9999999259326845,0.0,0.6335400330925647,0.1744477760229303,0.05266748231303295,0.02414369091423233,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Aker BP ASA,Oil & Gas,Energy,3808.09,1704.28,1891.7,476.68,0.0,2649.97,10511.2,915.82,933.27,2357.5,147.93,0.0,301.87,3179.35,0.0,891.4200000000001,550.0999999999999,188.77,-203.47000000000008,0.0,-50.9199999999999,8364.45,9437.825,-0.005395310889956,915.82,1419.02,608.1800000000001,0.1503545573265026,0.0970371881233229,0.0644406947575315,0.2807818538699329,1657.09,0.1755796489127526,True,3,22,2013.0,2014-06-13,2014-06-30,2014-02-19,576.384520122,True,True,0.0610717533035418,22,0.0881174915287088,0.027504788942383,0.0545221173293969,0.1427715090013866,8000
ALFA.ST,2013,2014,0.3098270411864533,0.3098270411864533,0.0427204876919388,0.0427204876919388,0.0427204876919388,65227.58,0.3098270411864533,0.2948843332082492,0.28775171383088677,0.06787567666495617,0.0,0.0,0.5128528094986311,0.0,0.9830132815442444,0.0,0.0001194994484653604,0.0,0.8896233632221672,0.1744477760229303,0.05266748231303295,0.005178716829152266,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Alfa Laval AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15111.32,1362.79,10878.76,988.64,1002.77,3969.62,32900.16,3820.36,26895.96,17388.83,5200.31,633.57,221.12,15161.27,70.68,1403.699999999999,173.76,1471.84,466.46,1002.77,1227.3299999999988,29925.97,31413.065,0.0390706860346164,3820.36,3081.88,1274.09,0.0981082234414247,0.1216169132174781,0.0405592386479956,0.1263684393738719,4705.89,0.1498067762569491,True,5,25,2013.0,2014-06-30,2014-06-30,2014-02-05,3721.49699200862,True,True,0.1184697192715394,25,0.0400851309223534,0.0145811744879896,0.0236779656173888,0.0703947167237983,8000
ALKb.CO,2013,2014,0.2424332816290816,0.2424332816290816,0.0134784572611969,0.0134784572611969,0.0134784572611969,6320.38,0.2424332816290816,0.2416038808418636,0.23999334747010714,0.02256574361591144,0.0,0.0,0.0019284866924275113,0.0,0.9996522874224228,0.0,3.697737602791444e-16,0.0,0.9878003292051277,0.1744477760229303,0.05266748231303295,0.0005155017364175267,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,ALK-Abello A/S,Pharmaceuticals,Health Care,1150.39,348.8,561.22,5.59,31.3,1570.74,3653.51,152.91,2350.24,730.0,1484.09,484.92,11.52,2514.3,0.0,-16.11999999999989,-120.76,28.66000000000008,0.6699999999999999,14.57,91.22000000000004,3243.57,3448.54,0.0264517737941273,152.91,91.4,-5.0,0.0265039697959136,0.0443405035174305,-0.0014498889385073,0.4554797102541945,358.8,0.1040440302272845,True,4,29,2013.0,2014-05-26,2014-06-30,2014-02-05,413.76302792606,True,True,0.1199820874706571,29,0.012020329724792,0.0069833344165329,0.0057206530913138,0.0258395499949633,8000
ASPO.HE,2013,2014,0.0707013246340134,0.0707013246340134,0.0395721153175765,0.0395721153175765,0.0395721153175765,1557.0,0.0707013246340134,0.08068327803157131,0.0514583466546735,0.06337190133660292,0.0,0.0,9.242886270233175e-05,0.0,0.06651100833361623,0.0,0.4358543276093489,0.0,0.9037851101033005,0.1744477760229303,0.05266748231303295,0.004443531802108485,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Aspo Oyj,Freight & Logistics Services,Industrials,1117.67,237.42,878.83,374.35,1.95,862.13,2522.05,125.23,3719.61,2754.58,873.69,0.0,30.44,855.51,5.86,108.70000000000005,80.35999999999999,-36.28999999999997,-35.81,-1.2900000000000005,27.530000000000022,2284.32,2403.1850000000004,0.0114556307566833,125.23,65.93,120.30999999999996,0.0274344255644072,0.0521100123377933,0.0500627292530537,0.3587447491558077,183.98,0.0765567361647147,True,5,51,2013.0,2014-06-18,2014-06-30,2014-02-13,196.040023927348,True,True,0.0815750863655307,51,0.035932494735697,0.0182204899062875,0.0170353918896598,0.0743173620479309,8000
ASSAb.ST,2013,2014,0.2571881648419516,0.2571881648419516,0.0329900270388397,0.0329900270388397,0.0329900270388397,112625.29,0.2571881648419516,0.25148807286314995,0.24340990718529615,0.05362381979192403,0.0,0.0,0.17339200543191535,0.0,0.9556504026415146,0.0,0.0001219737987438769,0.0,0.9311087117167226,0.1744477760229303,0.05266748231303295,0.0030882688701033014,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Assa Abloy AB,Homebuilding & Construction Supplies,Consumer Discretionary,16638.1,341.17,15872.83,4594.47,1202.57,6022.29,61978.67,5617.28,43755.01,27149.57,10320.3,1254.5,555.95,27154.01,0.0,2211.4199999999983,-435.25,1396.5,1768.71,498.91,3517.789999999998,51537.32,56757.995,0.0619787573539198,5617.28,5147.92,3689.740000000005,0.0906994688589687,0.0989689646366119,0.0650082864977877,0.1061046994348549,6135.21,0.1080941988877514,True,1,52,2013.0,2014-06-26,2014-06-30,2014-02-07,6539.55367355321,True,True,0.1152181939047214,52,0.0302176169634697,0.0131560868076482,0.0172378047487143,0.0573758850199856,8000
ATCOa.ST,2013,2014,0.4368682848918985,0.4368682848918985,0.0459078154976218,0.0459078154976218,0.0459078154976218,143847.65,0.4368682848918985,0.4039817044384701,0.41180425266730636,0.07232460427353338,0.0,0.0,0.9630137316998565,0.0,0.9999103395315053,0.0,9.735115016032356e-08,0.0,0.8746798388770394,0.1744477760229303,0.05266748231303295,0.005980300620669209,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,54553.06,16618.31,23170.26,5228.74,796.37,6509.54,82833.31,10710.19,75710.49,46719.78,13768.82,1910.63,748.19,37365.51,138.54,9561.809999999998,5989.830000000002,4761.32,4488.27,-609.2299999999999,2689.699999999996,69162.13,75997.72,0.035391851229221,10710.19,11777.48,-2095.3199999999924,0.1549714912500006,0.1409277804649929,-0.0275708271248136,0.0856544117376152,15052.8,0.1980690999677358,True,5,53,2013.0,2014-06-24,2014-06-30,2014-01-30,13159.4785984767,True,True,0.1731562288773492,53,0.0434013474396833,0.015527986241918,0.0255562200557724,0.0746970400261942,8000
ATEA.OL,2013,2014,0.0639153079710141,0.0639153079710141,0.0449587261266994,0.0449587261266994,0.0449587261266994,5579.35,0.0639153079710141,0.0772689090751564,0.0397529937849774,0.07101169180798438,0.0,0.0,0.0002993799662104335,0.0,0.0754686116018316,0.0,0.4806378361400418,0.0,0.8791884290698165,0.1744477760229303,0.05266748231303295,0.00573558546347943,0.041739879173877226,0.3076398974414143,0.1659043506897434,0.0604674903041995,1,Atea ASA,Software & IT Services,Information Technology,6651.4,745.8,6405.4,98.8,32.7,520.1,11187.4,873.8,22095.8,16776.2,4958.9,0.0,134.9,3532.8,0.0,915.8999999999996,565.4,726.7999999999993,62.8,-0.5,-313.99999999999966,9810.1,10498.75,-0.0299083224193356,873.8,812.4,1165.5,0.0773806405524467,0.0832289558280747,0.1110132158590308,0.0495392308608167,958.8,0.0913251577568758,True,6,54,2013.0,2014-06-23,2014-06-30,2014-02-05,839.66667,True,True,0.0799777754494582,54,0.0416160759897249,0.0171072558007662,0.0239067342894634,0.0770711940676763,8000
