Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Softronic AB,Software & IT Services,Information Technology,174.23,32.45,140.54,0.0,0.08,69.45,0.0,0.01670266378689677
2005,Softronic AB,Software & IT Services,Information Technology,175.73,40.12,119.49,0.0,0.25,75.65,0.0,0.20978189028420344
2006,Softronic AB,Software & IT Services,Information Technology,193.71,42.07,129.49,0.0,0.01,95.96,0.0,0.23072113380575246
2007,Softronic AB,Software & IT Services,Information Technology,266.38,45.31,176.12,0.0,0.09,107.64,0.0,0.4167595689334818
2008,Softronic AB,Software & IT Services,Information Technology,371.72,55.43,255.85,0.0,0.23,143.15,0.0,0.4206077541040868
2009,Softronic AB,Software & IT Services,Information Technology,308.1,48.78,224.76,0.0,0.04,139.75,0.0,0.24701252236136
2010,Softronic AB,Software & IT Services,Information Technology,338.9,56.22,243.59,0.0,0.06,179.78,0.0,0.2170986761597505
2011,Softronic AB,Software & IT Services,Information Technology,454.64,86.16,325.87,0.0,0.09,190.36,0.0,0.22336625341458294
2012,Softronic AB,Software & IT Services,Information Technology,444.08,92.45,312.18,0.0,0.17,189.0,0.0,0.20783068783068775
2013,Softronic AB,Software & IT Services,Information Technology,498.12,116.2,343.8,0.0,0.22,211.73,0.0,0.17900155858876876
2014,Softronic AB,Software & IT Services,Information Technology,495.46,111.29,357.32,0.0,0.05,210.79,0.0,0.12714075620285575
2015,Softronic AB,Software & IT Services,Information Technology,575.47,149.52,383.4,0.0,0.03,236.55,0.0,0.17975058127245852
2016,Softronic AB,Software & IT Services,Information Technology,603.6,174.82,379.65,0.0,0.04,220.62,0.0,0.22250929199528624
2017,Softronic AB,Software & IT Services,Information Technology,636.2,182.38,380.67,0.0,0.08,258.27,0.0,0.2829209741743139
2018,Softronic AB,Software & IT Services,Information Technology,690.41,215.22,404.96,0.0,0.07,264.4,0.0,0.26535552193645984
2019,Softronic AB,Software & IT Services,Information Technology,670.05,196.37,383.4,0.0,1.41,257.05,0.0,0.3457304026453996
2020,Softronic AB,Software & IT Services,Information Technology,745.61,232.51,399.84,0.0,1.42,356.05,0.0,0.31411318635023183
2021,Softronic AB,Software & IT Services,Information Technology,788.25,267.98,404.28,0.0,0.62,249.81,0.0,0.46183099155358076
2022,Softronic AB,Software & IT Services,Information Technology,757.38,271.22,387.74,0.0,1.29,238.68,0.0,0.40694653929948027
2023,Softronic AB,Software & IT Services,Information Technology,833.57,284.49,431.04,0.0,1.2,286.91,0.0,0.40723571851800217
2024,Softronic AB,Software & IT Services,Information Technology,856.76,283.87,456.2600000000001,0.0,0.97,304.57,0.0,0.37974849788225984
