Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,7138.94,5509.29,1288.46,0.0,5.87,479.82,962.95,454.93,0.23241403688737608
2005,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,7294.13,5657.82,1277.5,0.0,1.6,1556.15,0.0,904.47,0.22954728014651568
2006,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,8643.19,6678.06,1443.8799999999999,0.0,0.0,1615.34,0.0,4873.7,0.32268748374955136
2007,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,10952.47,8593.27,1775.22,0.0,2.4,1815.66,0.0,3758.84,0.3203132745117472
2008,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12355.76,9787.1,2065.48,0.0,2.47,1976.58,0.0,1582.43,0.25332139351809685
2009,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12492.12,9909.74,2288.2799999999997,0.0,3.49,2134.0,0.0,2585.69,0.136180880974696
2010,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,11216.19,8816.9,2040.76,0.0,0.0,2218.76,0.0,3031.96,0.1615902576213745
2011,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,11940.69,9400.45,2297.13,0.0,1.56,2190.26,0.0,1637.62,0.11028371060969915
2012,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12248.72,9658.32,2347.4999999999995,0.0,0.0,2167.45,0.0,1737.64,0.11206717571339597
2013,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,10958.36,8568.32,2194.19,0.0,51.32,2390.21,0.0,2585.33,0.06046749030419956
2014,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,11495.08,9063.08,2484.7000000000003,0.0,52.7,2102.7,0.0,2405.42,-0.05012602843962538
2015,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,12698.0,10060.53,2314.84,0.0,62.370000000000005,2355.38,0.0,3820.97,0.11049597092613471
2016,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,13001.68,10262.84,2403.1800000000003,0.0,51.150000000000006,2057.83,0.0,3020.95,0.13825729044673266
2017,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,13876.73,11010.05,2625.7999999999997,0.0,35.13,2104.63,0.0,3601.8,0.09776065151594368
2018,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,14299.33,11404.16,2588.52,0.0,68.28999999999999,2173.37,0.0,2501.46,0.10967299631447941
2019,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,15402.35,12299.2,2748.4,0.0,54.07000000000001,2097.75,0.0,2481.21,0.14333452508640188
2020,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,16496.87,13036.34,3082.1,0.0,67.62,2387.91,0.0,3192.11,0.1301598468954018
2021,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,16884.11,13094.27,2853.66,0.0,68.33,2628.34,0.0,6917.6,0.33018939710996303
2022,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,18814.88,14410.76,3132.42,0.0,58.36,2723.17,0.0,6437.19,0.44556160651006027
2023,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,19956.43,15469.26,3606.5899999999997,0.0,162.34,2899.09,75.03,5135.53,0.24149664438556623
2024,SOLARb.CO,Solar A/S,Construction & Engineering,Industrials,19046.07,15117.81,3610.38,0.0,177.63,2884.74,72.59,3478.61,0.04742453496904306
