Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2014,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,14.73,4.87,3.76,0.0,3.12,111.15,14.45,,0.023726114649681523
2015,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,21.79,6.99,7.26,0.0,4.81,384.33,23.49,175.82,0.006694129763130792
2016,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,48.39,16.31,14.26,0.0,8.96,495.37,52.46,172.59,0.01617290035229907
2017,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,81.74,30.88,16.7,0.0,19.44,682.94,101.37,306.0,0.01876808914842345
2018,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,105.45,36.43,25.75,0.0,34.93,768.98,147.26,334.51,0.009102418580284653
2019,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,137.26,46.53,41.78,0.0,42.16,1322.29,0.0,2799.83,0.005135030893374367
2020,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,206.95,67.24,48.21,0.0,58.95,1839.99,1.46,3577.72,0.017676287708056133
2021,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,273.3,89.0,58.42,0.0,87.79,2830.86,0.68,5719.4,0.013452043764170736
2022,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,356.02,125.13,56.06,0.0,131.79,2810.43,0.28,1480.26,0.015312856893809746
2023,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,441.5,138.84,58.82,0.0,289.03,2373.35,0.0,1059.97,-0.0190405966250237
2024,K2Apref.ST,K2A Knaust & Andersson Fastigheter AB (publ),Real Estate Operations,Real Estate,434.16,136.89,82.88000000000001,0.0,371.41,2169.18,0.0,1083.87,-0.07238680054214035
