Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,174.23,32.45,140.54,0.0,0.08,69.45,0.0,87.89,0.01670266378689677
2005,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,175.73,40.12,119.49000000000001,0.0,0.25,75.65,0.0,166.0,0.20978189028420324
2006,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,193.71,42.07,129.49,0.0,0.01,95.96,0.0,216.76,0.23072113380575246
2007,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,266.38,45.31,176.12,0.0,0.09,107.64,0.0,284.1,0.4167595689334818
2008,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,371.72,55.43,255.85,0.0,0.23,143.15,0.0,209.67,0.4206077541040868
2009,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,308.1,48.78,224.76,0.0,0.04,139.75,0.0,220.13,0.24701252236136
2010,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,338.9,56.22,243.59,0.0,0.06,179.78,0.0,319.47,0.2170986761597505
2011,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,454.64,86.16,325.87,0.0,0.09,190.36,0.0,235.1,0.22336625341458294
2012,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,444.08,92.45,312.18,0.0,0.17,189.0,0.0,248.81,0.20783068783068775
2013,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,498.12,116.2,343.8,0.0,0.22,211.73,0.0,315.71,0.17900155858876876
2014,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,495.46,111.29,357.32,0.0,0.05,210.79,0.0,322.87,0.12714075620285575
2015,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,575.47,149.52,383.40000000000003,0.0,0.03,236.55,0.0,446.18,0.1797505812724583
2016,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,603.6,174.82,379.65,0.0,0.04,220.62,0.0,386.82,0.22250929199528624
2017,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,636.2,182.38,380.67,0.0,0.08,258.27,0.0,671.5,0.2829209741743139
2018,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,690.41,215.22,404.96000000000004,0.0,0.07,264.4,0.0,739.62,0.2653555219364596
2019,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,670.05,196.37,383.4,0.0,1.41,257.05,0.0,820.23,0.3457304026453996
2020,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,745.61,232.51,399.84000000000003,0.0,1.42,356.05,0.0,1173.38,0.31411318635023167
2021,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,788.25,267.98,404.28000000000003,0.0,0.62,249.81,0.0,1492.22,0.4618309915535805
2022,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,757.38,271.22,387.74,0.0,1.29,238.68,0.0,1067.62,0.40694653929948027
2023,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,833.57,284.49,431.04,0.0,1.2,286.91,0.0,1042.86,0.40723571851800217
2024,SOFb.ST,Softronic AB,Software & IT Services,Information Technology,856.76,283.87,456.26000000000005,0.0,0.97,304.57,0.0,1211.64,0.37974849788226006
