Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2005,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,15.37,2.41,12.530000000000001,0.0,1.17,-11.6,0.0,,0.06379310344827603
2006,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,15.47,1.56,12.83,0.0,1.14,17.61,0.0,,-0.003407155025553653
2007,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,24.39,4.1,18.62,0.0,0.97,42.16,0.0,291.46,0.016603415559772253
2008,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,30.28,3.73,27.849999999999998,0.0,0.17,55.59,0.0,387.43,-0.026443604964921694
2009,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,37.45,3.61,30.57,0.0,0.08,68.25,0.0,248.2,0.04673992673992679
2010,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,36.33,2.42,28.52,0.0,0.29,56.16,0.0,89.16,0.09081196581196577
2011,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,39.53,3.44,27.54,0.0,0.25,55.2,0.0,79.78,0.15036231884057977
2012,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,40.41,4.37,26.81,0.0,0.21,43.46,0.0,67.78,0.20754716981132074
2013,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,41.38,4.43,35.480000000000004,0.0,0.17,45.76,0.0,68.5,0.028409090909090887
2014,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,49.62,5.03,42.78,0.0,0.13,50.13,0.0,69.35,0.033512866546977764
2015,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,70.21,10.33,53.19,0.0,0.49,54.27,0.0,331.86,0.11424359683066146
2016,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,106.62,16.18,70.55,0.0,0.72,70.99,0.0,691.51,0.27003803352584876
2017,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,111.37,12.49,86.02999999999999,0.0,0.6100000000000001,82.56,0.0,682.84,0.14825581395348866
2018,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,144.38,16.93,96.35,0.0,0.33999999999999997,93.23,0.0,1276.13,0.32993671564946897
2019,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,227.43,21.89,135.47,0.0,0.8200000000000001,225.3,0.0,3364.51,0.30736795383932547
2020,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,296.81,27.98,161.44,2.08,0.8,293.9,0.0,7946.23,0.36975161619598507
2021,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,394.7,39.01,192.8,0.98,1.19,363.4,0.0,20131.56,0.4476609796367639
2022,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,577.86,59.71,245.39999999999998,1.22,2.01,495.65,0.0,18279.59,0.5486936346212046
2023,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,639.35,70.85,238.27,1.01,1.57,837.35,0.0,12739.15,0.39370633546306805
2024,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,628.31,62.12,306.37000000000006,1.54,0.27,866.2,0.0,8122.06,0.3014199953821287
