Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2015,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,107.06,72.95,31.63,0.0,14.43,-170.11,0.0,,0.0702486626300629
2016,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,205.44,112.64,56.23,0.0,14.1,-128.34,0.0,,-0.1750818139317438
2017,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,194.69,103.87,68.91,0.0,14.94,-120.64,0.0,,-0.057775198938992016
2018,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,194.68,109.76,103.31,0.0,10.0,71.22,0.0,606.66,-0.39862398202752036
2019,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,215.56,114.01,92.21000000000001,0.0,1.05,746.66,0.0,2040.68,0.011102777703372337
2020,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,164.25,111.55,115.05999999999999,0.0,0.29,1349.75,0.0,3631.31,-0.04641600296351175
2021,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,191.8,177.7,138.29,0.0,0.36,1412.97,0.0,3136.99,-0.08814766060142817
2022,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,339.19,233.21,208.85000000000002,0.0,0.47000000000000003,1311.01,0.0,2779.75,-0.07882472292354752
2023,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,288.63,217.97,216.97000000000003,0.0,1.99,1792.04,0.0,1625.89,-0.0827548492221156
2024,OVZON.ST,Ovzon AB (publ),Communications & Networking,Communication Services,339.68,186.11,256.27000000000004,0.0,53.9,1634.67,0.0,1963.05,-0.09579915212244676
