Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,4840.52,0.0,2090.36,364.69,0.0,715.48,0.0,19230.35,4.353510929725499
2005,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,4863.28,0.0,2187.1800000000003,411.32,0.0,810.07,0.0,24469.83,3.811300258002394
2006,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,5485.9,1629.07,2489.39,496.02,70.43,740.31,0.0,32007.19,2.421998892355905
2007,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,5903.13,1631.72,2910.12,543.23,110.26,443.99,9.15,30691.61,3.9596151299819042
2008,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,5937.53,1821.25,2967.2699999999995,588.81,134.03,693.58,0.0,16807.05,2.312335995847631
2009,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,6684.49,1953.69,3382.9300000000003,675.34,104.58,1451.61,0.0,25797.37,1.321725532339953
2010,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,7409.83,2079.08,3799.63,661.49,94.28,2553.56,0.0,25126.02,0.8217273140243423
2011,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,8412.72,2368.66,4262.33,662.26,86.84,3434.23,4.16,29001.44,0.685538871390389
2012,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,8592.35,2438.6,4505.59,654.85,97.42,3997.62,-1.97,27794.82,0.5519977976048952
2013,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,9383.15,2556.57,5059.72,664.02,0.0,5653.55,-1.12,33383.19,0.4300592842370448
2014,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,10479.22,2840.13,5737.4400000000005,762.45,0.0,6781.58,-2.43,32207.02,0.39298437119697877
2015,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,12791.56,3322.33,7274.34,915.14,47.98,8360.23,1.29,45997.86,0.36620734029219565
2016,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,14975.64,3708.35,8945.2,1046.87,73.62,8511.31,6.11,39951.96,0.3868941533938679
2017,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,16546.44,3968.19,9711.58,1152.94,86.56,9824.69,7.94,59435.83,0.39999979659562074
2018,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,17957.27,4062.51,10805.03,1300.06,126.27,9354.27,11.94,61914.43,0.45520226430968325
2019,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,19710.89,4775.4,12386.240000000002,1477.06,214.97000000000003,10061.82,11.86,67809.54,0.3783463441364027
2020,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,20819.29,6152.69,13191.74,1814.44,168.35,11615.73,40.83,81535.8,0.2677419410186198
2021,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,24470.61,6077.68,13686.05,1556.66,148.97,10740.93,5.39,108347.57,0.5689919898160487
2022,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,26743.65,6834.86,15721.810000000001,1783.36,264.65,12073.05,1.41,62557.35,0.4725420432880643
2023,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,33081.02,8087.63,18196.79,1877.57,813.2,13889.21,123.05,99466.4,0.5610065756701628
2024,DEMANT.CO,Demant A/S,Healthcare Equipment & Supplies,Health Care,34933.64,8303.73,19921.79,2172.15,1015.95,15092.83,126.25,92179.11,0.5167408279606915
