Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2009,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,998.7,935.88,477.36,0.0,216.7,5185.09,0.0,,-0.12174137768100457
2010,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,1286.66,887.97,471.17,0.0,217.46,6444.73,0.0,4953.96,-0.044988696190530864
2011,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,1731.18,907.61,425.79,0.0,235.31,7213.76,0.0,3333.73,0.02252223528368008
2012,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,2296.86,976.9,482.63,0.0,296.56,8589.27,0.0,5793.22,0.06295878462314027
2013,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,1910.25,1005.09,481.97,0.0,264.5,9900.2,0.0,6615.0,0.016028969111735108
2014,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,1797.13,920.63,504.46,0.0,283.76,12754.7,0.0,5361.94,0.006921370161587504
2015,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,2523.69,1023.98,645.03,0.0,290.26,14629.87,0.0,4114.7,0.038579973711318015
2016,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,2157.82,1091.51,680.09,0.0,344.24,12394.1,0.0,7195.94,0.0033870954728459613
2017,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,24995.63,20284.15,2248.28,0.0,1132.41,21518.75,-24.62,24259.67,0.061914113295118214
2018,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,33075.15,28190.8,2808.5,0.0,1310.63,22866.64,-501.04,12160.54,0.03421415030224998
2019,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,34391.68,27309.23,4381.44,0.0,1706.83,23508.56,-43.89,8934.11,0.04236922999556359
2020,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,27837.28,23376.54,4253.7,0.0,1383.39,20509.76,-137.25,9499.14,-0.05774202589666183
2021,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,33381.74,26248.15,4142.64,0.0,1203.26,22360.21,-202.55,20717.96,0.08068045091404039
2022,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,48469.48,33597.18,5197.62,0.0,1719.73,30888.36,-284.1,39736.72,0.25992950001078297
2023,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,54328.95,35262.64,6077.58,0.0,2574.53,30922.19,293.92,36440.68,0.3336162000966808
2024,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,57028.03,36937.14,6220.65,0.0,2664.46,37654.56,102.29,38283.19,0.29678800005826755
