Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,3824.05,0.0,3503.4700000000003,0.0,48.68,1689.84,0.0,0.16090280736637785
2015,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,4156.19,0.0,3730.72,0.0,21.99,2021.96,0.0,0.19954895250153307
2016,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,5237.75,0.0,4741.870000000001,0.0,94.27,1960.17,0.0,0.2048852905615325
2017,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,5631.9,0.0,5017.97,0.0,51.32,2481.6,0.0,0.22671260477111516
2018,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,5689.98,0.0,5051.3099999999995,0.0,16.86,2659.22,0.0,0.23383172509232034
2019,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,10273.64,0.0,8734.45,0.0,203.8,3784.41,0.0,0.3528661006603404
2020,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,11343.25,0.0,9450.83,0.0,228.24,4517.21,0.0,0.36840881871774833
2021,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,11503.33,0.0,9625.2,0.0,266.59000000000003,4413.48,0.0,0.3651404333994941
2022,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,12005.08,0.0,9947.06,0.0,304.05,4406.06,0.0,0.3980812789657881
2023,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,13249.12,0.0,10786.81,0.0,387.16,4953.28,0.0,0.41894461851540826
2024,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Other,14436.28,0.0,11410.71,0.0,446.46,5126.08,0.0,0.5031349491229168
