FormationYear,Method,PortfolioNum,Portfolio,MethodLabel,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_theta_conservative,avg_p_q5,avg_p_q1,avg_sigma_acc
2010,Method1_ObservedQuality,1,Q1,Observed Quality,63,501070.10000000003,-0.5379163118699314,-0.286566268496884,-0.5727270830169255,0.024441125152213188,0.7773356675332871,0.12733541184882907
2010,Method1_ObservedQuality,2,Q2,Observed Quality,62,477072.39,0.03459740512129471,0.060690501999373765,0.0026341491785515556,0.09110799087261871,0.33646801310452923,0.12069412132659141
2010,Method1_ObservedQuality,3,Q3,Observed Quality,62,988980.02,0.14222386428949813,0.13614543550346594,0.11757478184848273,0.13772613277237647,0.1606735329129349,0.09444297901280403
2010,Method1_ObservedQuality,4,Q4,Observed Quality,62,689406.95,0.26763504026353463,0.23216677662831503,0.2454235199250459,0.28852143747879105,0.06607133135335545,0.08335647603683714
2010,Method1_ObservedQuality,5,Q5,Observed Quality,63,2103071.69,0.6704510193622414,0.49497542022354574,0.6401711991043536,0.7792260416981759,0.024818829248438597,0.11038262009678475
2010,Method2_LatentQuality,1,Q1,Latent Quality,63,683107.52,-0.5113939556160486,-0.2953064952287539,-0.5378531642006846,0.013911571029522925,0.750372050869956,0.09279609074938273
2010,Method2_LatentQuality,2,Q2,Latent Quality,62,302553.1,0.010062884240164589,0.06901383907929752,-0.023994640479376834,0.08438373947885325,0.34170879339797433,0.12233189289568086
2010,Method2_LatentQuality,3,Q3,Latent Quality,62,819682.8200000001,0.1554047861531497,0.13306193887388182,0.11481765079917405,0.20291068412444693,0.2045820132100476,0.16699080753642476
2010,Method2_LatentQuality,4,Q4,Latent Quality,62,620234.85,0.27794789741051434,0.21831002619010043,0.2535473099875537,0.2833264061969203,0.06270063003745958,0.08706581563011878
2010,Method2_LatentQuality,5,Q5,Latent Quality,63,2334022.86,0.6449528852666273,0.5121957805942766,0.6262219167956241,0.7373358075996135,0.006730530435118338,0.06826342912430267
2010,Method3_ConservativeQuality,1,Q1,Conservative Quality,63,473794.22000000003,-0.536291111565701,-0.28126873654779344,-0.5741007653300236,0.03296832895729173,0.7753764405304027,0.13630299069070528
2010,Method3_ConservativeQuality,2,Q2,Conservative Quality,62,486954.37,0.036075146775406845,0.058176038962320424,0.0007109012670494101,0.10918155709822779,0.36504280136280387,0.13938919529443888
2010,Method3_ConservativeQuality,3,Q3,Conservative Quality,62,857483.2100000001,0.14211732374433658,0.1316664488039112,0.1201543370926236,0.129866101473783,0.14680609660775532,0.07854862700213688
2010,Method3_ConservativeQuality,4,Q4,Conservative Quality,62,666441.5,0.2658459779855205,0.22355543610223083,0.24279540878085304,0.2723615458478026,0.06329596785327604,0.09110333670299968
2010,Method3_ConservativeQuality,5,Q5,Conservative Quality,63,2274927.85,0.6692370475101053,0.5050349834536126,0.6434853867558067,0.7765508079827216,0.015035464440418837,0.09103488057796798
2010,Method4_ProbabilisticQuality,1,Q1,Probabilistic Quality,62,498383.66000000003,-0.5459168381814536,-0.2908994713244826,-0.581042709739072,0.024610158739480272,0.7818053535019164,0.1284007202381628
2010,Method4_ProbabilisticQuality,5,Q5,Probabilistic Quality,62,2098966.48,0.6755652571434015,0.5006239110730004,0.6462090192227343,0.7837276737729401,0.02232862973053572,0.10599167958406254
2011,Method1_ObservedQuality,1,Q1,Observed Quality,65,535274.47,-0.6651320626156536,-0.26380380911308665,-0.700170501054611,0.07648199821957222,0.7230471384045319,0.1330432096558416
2011,Method1_ObservedQuality,2,Q2,Observed Quality,64,380291.48,0.05819580131910903,0.07633387766832793,0.030480049964390726,0.17117058650931988,0.37305973900186457,0.10833475441283681
