FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col
2010,321,0.1143401747373561,0.23017273115650028,0.11482818930650442,0.11534454184999586,0.352694980280632,0.07351615497201,sigma_acc
2011,337,0.13998688796097025,0.1712246961943114,0.08370648905105627,0.08751820714325514,0.35046584964119276,0.072061705658854,sigma_acc
2012,346,0.11211043236438356,0.22691738245564747,0.10295616626795144,0.12396121618769602,0.34516260631269,0.0689928936584233,sigma_acc
2013,361,0.08741615889622598,0.1765072645243508,0.07043114236090246,0.10607612216344835,0.3129797605409168,0.0662743193131842,sigma_acc
2014,370,0.05410280008189549,0.22191307489908682,0.11063103347563356,0.11128204142345326,0.2630946159200655,0.0598118128349343,sigma_acc
2015,384,0.0992221025345118,0.17571545627961574,0.09866114352257828,0.07705431275703746,0.3001698358307645,0.0500761751931984,sigma_acc
2016,423,0.06993024439050738,0.24943128714275772,0.1586374992347564,0.09079378790800133,0.2781882485734795,0.0475013310500077,sigma_acc
2017,440,0.10718886183319888,0.21714043335730746,0.11090363165312431,0.10623680170418315,0.312638469177002,0.04766053325856945,sigma_acc
2018,474,0.052433495999173615,0.25223081979438516,0.16503418344905768,0.08719663634532748,0.27436417439173394,0.046740057325288895,sigma_acc
2019,497,0.06377933166550209,0.3257839687389376,0.27817894205865207,0.047605026680285545,0.2978264802429735,0.0448010446629872,sigma_acc
2020,518,0.07369885002736166,0.35182131365293073,0.2667943618421181,0.08502695181081266,0.29591783133324695,0.0463595719335758,sigma_acc
2021,540,0.0716475449413749,0.14606697778365316,0.09541246716488934,0.05065451061876382,0.2672174680484412,0.047409518182083804,sigma_acc
2022,561,0.08812308210389234,0.1938616223006482,0.12994877747046188,0.06391284483018633,0.2925150187217386,0.0468058175208598,sigma_acc
2023,588,0.11180847456761939,0.12241918065093882,0.07746753900820723,0.04495164164273159,0.2888892376496719,0.0458300867642157,sigma_acc
2024,610,0.1279754990829099,0.2326759407521719,0.1522904964983283,0.08038544425384361,0.28724124106585913,0.04569309871299015,sigma_acc
2025,626,0.1190460906286537,0.18297874225700758,0.13767927867430607,0.04529946358270151,0.2646208165871613,0.04244821994766655,sigma_acc
