ResultFolder,SourceFile,SplitType,SplitValue,PortfolioStrategy,Method,MethodLabel,StartDate,EndDate,NMonths,TotalCumulativeReturn,TotalCumulativeReturnPct
results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,2014-07-31,2026-03-31,141,0.2166843567678054,21.66843567678054
results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method1_ObservedQuality,Observed Quality,2014-07-31,2026-03-31,141,3.5866995933087003,358.66995933087003
results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method2_LatentQuality,Latent Quality,2014-07-31,2026-03-31,141,3.5344115572442725,353.44115572442723
results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method3_ConservativeQuality,Conservative Quality,2014-07-31,2026-03-31,141,3.6778220077176336,367.78220077176337
results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/analyst_cfo_hybrid_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method4_ProbabilisticQuality,Probabilistic Quality,2014-07-31,2026-03-31,141,3.467975703547527,346.7975703547527
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method1_ObservedQuality,Observed Quality,2014-07-31,2026-03-31,141,0.25978495029644577,25.978495029644577
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method2_LatentQuality,Latent Quality,2014-07-31,2026-03-31,141,0.1422959831225563,14.229598312255632
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method3_ConservativeQuality,Conservative Quality,2014-07-31,2026-03-31,141,0.5706867660831183,57.06867660831183
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,LongShort,Method4_ProbabilisticQuality,Probabilistic Quality,2014-07-31,2026-03-31,141,0.2166843567678054,21.66843567678054
results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40,results/cur_res_analyst_cfo/portfolio_return_comparison/no_cfo_lead_matched_point/portfolio_evaluation/thesis_risk_adjusted_tables_ucits_5_10_40/monthly_portfolio_returns_used.csv,FullSample,All,Q5,Method1_ObservedQuality,Observed Quality,2014-07-31,2026-03-31,141,3.5866995933087003,358.66995933087003
