Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,MIPS.ST,Mips AB,Leisure Products,Other,13.56,6.74,19.9,2.73,0.08,17.59,0.0,-0.5929505400795906
2015,MIPS.ST,Mips AB,Leisure Products,Other,47.38,14.38,30.6,3.01,0.02,43.49,0.0,0.12393653713497348
2016,MIPS.ST,Mips AB,Leisure Products,Other,85.07,24.45,44.529999999999994,4.52,0.01,54.36,0.0,0.37895511405445176
2017,MIPS.ST,Mips AB,Leisure Products,Other,121.63,31.3,70.32,9.35,0.14,220.72,0.0,0.13238492207321495
2018,MIPS.ST,Mips AB,Leisure Products,Other,180.3,47.15,64.84,11.37,0.38,268.98,0.0,0.2948174585471039
2019,MIPS.ST,Mips AB,Leisure Products,Other,249.28,64.61,84.15,14.01,0.31,279.33,0.0,0.4089070275301615
2020,MIPS.ST,Mips AB,Leisure Products,Other,373.57,101.32,101.32,18.42,0.0,444.83,0.0,0.4256682328080391
2021,MIPS.ST,Mips AB,Leisure Products,Other,609.34,163.36,129.29000000000002,24.05,1.0,562.16,0.0,0.6043475167212182
2022,MIPS.ST,Mips AB,Leisure Products,Other,534.93,149.17,168.17000000000002,24.7,1.8999999999999997,589.23,0.0,0.4079731174583778
2023,MIPS.ST,Mips AB,Leisure Products,Other,355.31,103.51,182.13,34.83,1.0,661.44,0.0,0.15647677793904208
2024,MIPS.ST,Mips AB,Leisure Products,Other,491.21,135.26,178.99,39.66,2.04,659.01,0.0,0.3256096265610537
