SizeGroup,Date,Method,PortfolioStrategy,Return
SmallCap,2010-01-31,Method1_Raw,Q5,0.051162161863500644
SmallCap,2010-02-28,Method1_Raw,Q5,0.03676647870276739
SmallCap,2010-03-31,Method1_Raw,Q5,0.12325014707751798
SmallCap,2010-04-30,Method1_Raw,Q5,-0.031636601252242755
SmallCap,2010-05-31,Method1_Raw,Q5,-0.0674425615830506
SmallCap,2010-06-30,Method1_Raw,Q5,-0.05020031903473349
SmallCap,2010-07-31,Method1_Raw,Q5,0.03272671739368427
SmallCap,2010-08-31,Method1_Raw,Q5,-0.007469917765330088
SmallCap,2010-09-30,Method1_Raw,Q5,0.037279916740545
SmallCap,2010-10-31,Method1_Raw,Q5,0.02542514467413245
SmallCap,2010-11-30,Method1_Raw,Q5,-0.045743189032043455
SmallCap,2010-12-31,Method1_Raw,Q5,0.04288889069282352
SmallCap,2011-01-31,Method1_Raw,Q5,0.04584346783778943
SmallCap,2011-02-28,Method1_Raw,Q5,-0.031088870033283648
SmallCap,2011-03-31,Method1_Raw,Q5,0.016049332872477333
SmallCap,2011-04-30,Method1_Raw,Q5,0.00025686308276014793
SmallCap,2011-05-31,Method1_Raw,Q5,-0.03141111039501478
SmallCap,2011-06-30,Method1_Raw,Q5,-0.056432917584388
SmallCap,2011-07-31,Method1_Raw,Q5,-0.04559872883790683
SmallCap,2011-08-31,Method1_Raw,Q5,-0.11722276731954288
SmallCap,2011-09-30,Method1_Raw,Q5,-0.06599842457971324
SmallCap,2011-10-31,Method1_Raw,Q5,0.03825157926835985
SmallCap,2011-11-30,Method1_Raw,Q5,-0.022465609469275446
SmallCap,2011-12-31,Method1_Raw,Q5,-0.02613911954316347
SmallCap,2012-01-31,Method1_Raw,Q5,0.14610276116317947
SmallCap,2012-02-29,Method1_Raw,Q5,-0.02899396262929671
SmallCap,2012-03-31,Method1_Raw,Q5,0.06682962140638754
SmallCap,2012-04-30,Method1_Raw,Q5,-0.02700558082138486
SmallCap,2012-05-31,Method1_Raw,Q5,-0.09569551135510287
SmallCap,2012-06-30,Method1_Raw,Q5,-0.07712037346006498
SmallCap,2012-07-31,Method1_Raw,Q5,0.002619153927649359
SmallCap,2012-08-31,Method1_Raw,Q5,-0.02451123060850687
SmallCap,2012-09-30,Method1_Raw,Q5,0.01401436505473832
SmallCap,2012-10-31,Method1_Raw,Q5,-0.015560232688737132
SmallCap,2012-11-30,Method1_Raw,Q5,-0.020614084106585148
SmallCap,2012-12-31,Method1_Raw,Q5,0.012171617799263132
SmallCap,2013-01-31,Method1_Raw,Q5,0.061878167051804475
SmallCap,2013-02-28,Method1_Raw,Q5,0.06440291541550267
