Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,4732.57,3247.37,1079.39,40.16,76.14,2766.27,0.0,0.1336926619599676,0.0,0.0,2656.21
2005,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,4083.98,2917.01,1232.64,42.45,89.7,3214.5,0.0,-0.0351283247783481,0.0,0.0,3128.47
2006,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,4302.69,3030.95,1064.22,49.07,0.0,3468.38,0.0,0.0739797830687525,0.0,0.0,4125.68
2007,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,5183.04,3518.38,1290.5600000000002,59.28,100.14,3788.31,3.96,0.0878734900204889,0.0,0.0,4304.0
2008,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,5740.16,3981.88,1686.63,69.18,143.3,4335.66,0.0,-0.0005696941180812,0.0,0.0,2757.82
2009,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,5762.57,3832.99,1600.57,75.93,0.0,4186.72,0.0,0.0967201054763633,0.0,0.0,5366.78
2010,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,5729.34,3699.78,1562.99,68.03,36.81,4310.57,0.0,0.1154812472596431,0.0,0.0,8223.37
2011,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,5785.67,3765.95,1625.4399999999998,67.01,35.84,4288.45,0.0,0.0992083386771445,0.0,0.0,6571.33
2012,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,5588.87,3536.58,1590.42,76.98,0.0,4542.62,0.0,0.1186209720381629,0.0,0.0,7464.08
2013,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,6235.95,3711.43,2041.95,103.85,30.45,5268.01,7.5,0.1053869673263816,0.0,0.0,9917.96
2014,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,6413.69,3818.96,2286.3700000000003,122.01,40.11,10411.9,11.75,0.037439860317643,0.0,0.0,9893.62
2015,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,9902.63,6144.98,3341.73,161.0,39.36,11431.71,31.68,0.046893632686317,0.0,0.0,10945.88
2016,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,11188.53,6518.44,4074.72,167.19,63.16,11060.48,17.25,0.0631356785189746,0.0,0.0,9723.27
2017,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,11060.98,6282.04,3931.76,175.41,46.65,12497.41,27.57,0.0779194856997775,0.0,0.0,14352.15
2018,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,10739.23,6082.52,3745.53,176.67,34.57,11957.57,26.75,0.0878881738805371,0.0,0.0,9066.26
2019,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,10734.88,6331.26,3831.64,181.15,41.35,7487.71,35.43,0.094612090164479,0.0,0.0,9075.52
2020,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,11969.26,7121.29,3744.55,176.93,56.84,7938.85,39.81,0.1533478052705592,0.0,0.0,12853.66
2021,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,12745.8,7261.54,4074.84,157.51,34.55,8130.32,42.05,0.1875074182886971,0.0,0.0,18859.84
2022,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,12601.06,6989.93,4307.009999999999,209.95,102.96,8718.72,42.99,0.1610541777803647,0.0,0.0,13061.09
2023,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,12888.09,7055.48,5035.23,225.87,360.47,9170.61,42.5,0.0719387915698391,0.0,0.0,16180.95
2024,FSKRS.HE,Fiskars Oyj Abp,Household Goods,Consumer Staples,13445.05,7436.55,5642.4800000000005,218.45,397.39,9321.78,50.6,0.0199607783721955,0.0,0.0,14239.66
