Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2015,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,1522.99,1040.84,387.44,0.0,17.96,280.1,0.93,0.2731025157456502,0.0,0.0,
2016,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,1577.93,1008.86,463.26,0.0,12.86,313.42,0.99,0.2956330905505552,0.0,0.0,
2017,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,1816.16,1141.42,599.98,0.0,26.54,379.78,10.33,0.1236061623644613,0.0,0.0,
2018,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,3657.19,2078.86,1371.45,0.0,59.93,1489.84,10.44,0.0979483829685124,0.0,0.0,
2019,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,4232.32,2086.13,1685.44,0.0,105.34,1482.98,-5.9,0.2406166219839139,0.0,0.0,
2020,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,4960.56,2320.5,1992.38,0.0,110.45,2039.71,4.19,0.2628455403884731,0.0,0.0,3413.45
2021,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,7602.97,4035.21,2553.63,0.0,129.05,2526.9,98.11,0.3371720488683853,0.0,0.0,11745.81
2022,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,10602.49,5738.3,3827.56,0.0,208.94,4401.3,104.84,0.1836804892879492,0.0,0.0,8782.87
2023,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,9367.76,4269.79,4308.58,0.0,482.53,4509.81,139.81,0.0659967911356197,0.0,0.0,4927.26
2024,BEWI.OL,Bewi ASA,Containers & Packaging,Materials,8984.28,4044.78,4155.17,0.0,546.12,4363.19,162.38,0.0526364634731094,0.0,0.0,5099.81
