Source,Ticker,Month,Currency,LocalValue,FXRate_EoM,FXSource_EoM,NOKValue,ExDate,DPS_UNADJUSTED,DPS_ADJUSTED_GROSS,AdjustmentFactor,DPS_LOCAL,InstrumentCurrency,AdjustmentBasis,SplitFallbackSource,SplitFallbackEventCount,SplitFallbackEvents,FXRate,FXDate,FXSource,DPS_NOK
prices,20202.OL,2026-03,NOK,2.396022,1.0,identity,2.396022,,,,,,,,,,,,,,
prices,8TRA.ST,2026-03,SEK,336.6,1.0246,month_end_norges_bank,344.88036,,,,,,,,,,,,,,
prices,AAB.CO,2005-01,DKK,1856.425032,1.11,month_end_norges_bank,2060.6317855200004,,,,,,,,,,,,,,
prices,AAB.CO,2015-08,DKK,161.729048,1.254,month_end_norges_bank,202.808226192,,,,,,,,,,,,,,
prices,AAB.CO,2026-03,DKK,25.0,1.5004,month_end_norges_bank,37.51,,,,,,,,,,,,,,
prices,ABL.OL,2015-08,NOK,7.348904,1.0,identity,7.348904,,,,,,,,,,,,,,
prices,ABL.OL,2026-03,NOK,11.35,1.0,identity,11.35,,,,,,,,,,,,,,
prices,ACG1V.HE,2005-01,EUR,31.796938,8.26,month_end_norges_bank,262.64270788,,,,,,,,,,,,,,
prices,ACG1V.HE,2015-08,EUR,1.07,9.3585,month_end_norges_bank,10.013595,,,,,,,,,,,,,,
prices,ACG1V.HE,2026-03,EUR,4.42,11.2125,month_end_norges_bank,49.55925,,,,,,,,,,,,,,
prices,AFGA.OL,2005-01,NOK,11.419595,1.0,identity,11.419595,,,,,,,,,,,,,,
prices,AFGA.OL,2015-08,NOK,101.507513,1.0,identity,101.507513,,,,,,,,,,,,,,
prices,AFGA.OL,2026-03,NOK,170.0,1.0,identity,170.0,,,,,,,,,,,,,,
prices,AFK.OL,2005-01,NOK,18.129336,1.0,identity,18.129336,,,,,,,,,,,,,,
prices,AFK.OL,2015-08,NOK,59.345247,1.0,identity,59.345247,,,,,,,,,,,,,,
prices,AFK.OL,2026-03,NOK,160.0,1.0,identity,160.0,,,,,,,,,,,,,,
prices,AKAST.OL,2005-01,NOK,6.46751,1.0,identity,6.46751,,,,,,,,,,,,,,
prices,AKAST.OL,2015-08,NOK,10.773233,1.0,identity,10.773233,,,,,,,,,,,,,,
prices,AKAST.OL,2026-03,NOK,15.32,1.0,identity,15.32,,,,,,,,,,,,,,
prices,AKBM.OL,2026-03,NOK,105.4,1.0,identity,105.4,,,,,,,,,,,,,,
prices,AKH.OL,2026-03,NOK,0.0205,1.0,identity,0.0205,,,,,,,,,,,,,,
prices,AKRBP.OL,2015-08,NOK,48.38,1.0,identity,48.38,,,,,,,,,,,,,,
prices,AKRBP.OL,2026-03,NOK,361.1,1.0,identity,361.1,,,,,,,,,,,,,,
prices,AKSOA.OL,2015-08,NOK,19.671849,1.0,identity,19.671849,,,,,,,,,,,,,,
prices,AKSOA.OL,2026-03,NOK,41.462113,1.0,identity,41.462113,,,,,,,,,,,,,,
prices,AKVA.OL,2015-08,NOK,28.1,1.0,identity,28.1,,,,,,,,,,,,,,
prices,AKVA.OL,2026-03,NOK,106.5,1.0,identity,106.5,,,,,,,,,,,,,,
prices,ALVO.IC,2026-03,ISK,428.0,0.0781,month_end_norges_bank,33.4268,,,,,,,,,,,,,,
prices,ARCHA.OL,2015-08,NOK,158.571976,1.0,identity,158.571976,,,,,,,,,,,,,,
prices,ARCHA.OL,2026-03,NOK,27.1,1.0,identity,27.1,,,,,,,,,,,,,,
prices,ARRA.OL,2005-01,NOK,3650.024429,1.0,identity,3650.024429,,,,,,,,,,,,,,
prices,ARRA.OL,2015-08,NOK,851.990341,1.0,identity,851.990341,,,,,,,,,,,,,,
prices,ARRA.OL,2026-03,NOK,6.88,1.0,identity,6.88,,,,,,,,,,,,,,
prices,ASA.OL,2026-03,NOK,1.183,1.0,identity,1.183,,,,,,,,,,,,,,
